signal_date,exec_date,entry_date,direction,entry_price,exit_price,pnl,pnl_pct
2017-01-26,2017-02-03,2016-12-15,short,3327.1429,3392.4773,-19636.79,-0.019637
2017-05-26,2017-05-31,2017-05-09,short,3327.5901,3515.0812,-55237.99,-0.056344
2017-12-04,2017-12-05,2017-12-01,short,3984.3776,4045.9331,-14292.46,-0.015449
2018-03-09,2018-03-12,2018-02-07,short,4048.4228,4139.5259,-20496.79,-0.022503
2019-06-11,2019-06-12,2019-05-07,short,3671.8341,3711.8793,-9710.05,-0.010906
2020-02-13,2020-02-14,2020-02-04,short,3652.0035,4001.5627,-84290.96,-0.095717
2021-03-01,2021-03-02,2021-03-01,short,5345.9449,5454.9687,-16240.25,-0.020394
2022-08-15,2022-08-16,2022-08-04,short,4064.6594,4208.8006,-27663.77,-0.035462
2022-11-21,2022-11-22,2022-11-16,long,3877.6781,3751.0448,-24572.13,-0.032657
2024-03-15,2024-03-18,2024-02-22,long,3486.6826,3573.404,18103.44,0.024872
2024-09-05,2024-09-06,2024-06-26,short,3442.2982,3274.8144,36294.53,0.048655
2024-12-03,2024-12-04,2024-09-25,long,3465.4882,3917.7467,102087.28,0.130504
