signal_date,exec_date,entry_date,direction,entry_price,exit_price,pnl,pnl_pct
2016-07-08,2016-07-11,2016-06-28,short,2006.67,2143.1599,-68018.11,-0.068018
2016-11-01,2016-11-02,2016-07-11,long,2143.1599,2094.0,-21377.84,-0.022938
2016-11-15,2016-11-16,2016-11-02,short,2094.0,2179.22,-37059.06,-0.040697
2018-10-10,2018-10-11,2018-07-11,long,2785.91,2710.51,-23642.29,-0.027065
2019-01-18,2019-01-22,2018-10-11,short,2710.51,2657.88,16502.57,0.019417
2019-05-13,2019-05-14,2019-01-22,long,2657.88,2820.12,52886.36,0.061041
2019-06-18,2019-06-19,2019-05-14,short,2820.12,2931.74,-36385.45,-0.03958
2019-08-05,2019-08-06,2019-06-19,long,2931.74,2847.42,-25393.33,-0.028761
2019-10-25,2019-10-28,2019-08-06,short,2847.42,3044.08,-59225.01,-0.069066
2020-01-31,2020-02-03,2019-10-28,long,3044.08,3235.66,50240.46,0.062935
2020-04-29,2020-04-30,2020-02-03,short,3235.66,2930.91,79918.47,0.094185
2021-09-20,2021-09-21,2020-10-13,long,3534.01,4347.96,213839.02,0.230319
2021-10-25,2021-10-26,2021-09-21,short,4347.96,4598.53,-65829.16,-0.057629
2021-12-01,2021-12-02,2021-10-26,long,4598.53,4504.73,-21957.37,-0.020398
2022-08-10,2022-08-11,2021-12-02,short,4504.73,4257.91,57777.38,0.054791
2022-08-31,2022-09-01,2022-08-11,long,4257.91,3903.65,-92541.91,-0.0832
2022-11-11,2022-11-14,2022-09-01,short,3903.65,4008.97,-27512.32,-0.02698
2023-08-17,2023-08-18,2022-11-14,long,4008.97,4335.31,80769.34,0.081402
2023-11-10,2023-11-13,2023-08-18,short,4335.31,4421.76,-21396.43,-0.019941
2024-04-16,2024-04-17,2023-11-13,long,4421.76,5007.25,139242.87,0.132411
2024-05-15,2024-05-16,2024-04-17,short,5007.25,5325.49,-75684.73,-0.063556
2024-07-24,2024-07-25,2024-05-16,long,5325.49,5390.95,13707.27,0.012292
2024-08-19,2024-08-20,2024-07-25,short,5390.95,5620.51,-48069.69,-0.042582
2025-01-10,2025-01-13,2024-08-20,long,5620.51,5773.31,29382.54,0.027186
2025-05-12,2025-05-13,2025-01-13,short,5773.31,5906.64,-25638.58,-0.023094
2025-11-20,2025-11-21,2025-05-13,long,5906.64,6521.92,112973.32,0.104168
2026-04-13,2026-04-14,2025-11-21,short,6521.92,6969.42,-82166.75,-0.068615
,2026-07-31,2026-04-14,long,6969.42,7489.7248,83266.27,0.074655
