ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000852.SH,20160104,9694.8363,10598.2715,10602.6467,9694.629,10614.3785,-919.5422,-8.6632,117304144.0,196597042.0622
000852.SH,20160105,9452.0406,9140.6723,9680.1556,9084.872,9694.8363,-242.7957,-2.5044,168628044.0,265746817.1457
000852.SH,20160106,9709.5692,9511.734,9710.1179,9404.0666,9452.0406,257.5286,2.7246,139630139.0,227283115.3523
000852.SH,20160107,8856.4914,9511.1414,9511.1414,8850.1498,9709.5692,-853.0778,-8.7859,40495428.0,57536623.7123
000852.SH,20160108,8876.2526,9049.7667,9141.5727,8404.5048,8856.4914,19.7612,0.2231,156924299.0,230862791.3647
000852.SH,20160111,8205.122,8651.329,8754.3589,8203.4317,8876.2526,-671.1306,-7.561,143568813.0,194711633.4907
000852.SH,20160112,8187.9598,8164.3356,8304.1413,7968.7489,8205.122,-17.1622,-0.2092,121171242.0,169839433.0173
000852.SH,20160113,7836.1229,8230.0823,8311.7252,7836.0571,8187.9598,-351.8369,-4.297,113177530.0,158494624.6543
000852.SH,20160114,8157.7372,7548.0276,8174.3056,7534.0405,7836.1229,321.6143,4.1043,122934077.0,166877340.3336
000852.SH,20160115,7868.1676,8092.8681,8202.3412,7813.2583,8157.7372,-289.5696,-3.5496,119230953.0,171047653.9147
000852.SH,20160118,8060.8792,7689.658,8158.5638,7685.4717,7868.1676,192.7116,2.4493,106505827.0,154134667.799
000852.SH,20160119,8388.3835,8041.8637,8400.6014,8018.637,8060.8792,327.5043,4.0629,127304224.0,185107945.5102
000852.SH,20160120,8321.3921,8328.7227,8468.793,8244.7298,8388.3835,-66.9914,-0.7986,129081048.0,187428780.5135
000852.SH,20160121,7944.5669,8167.9504,8410.1548,7944.5669,8321.3921,-376.8252,-4.5284,120472896.0,175594988.325
000852.SH,20160122,8074.2854,8036.3244,8115.4023,7787.6184,7944.5669,129.7185,1.6328,101116759.0,145965106.6716
000852.SH,20160125,8180.5037,8153.3487,8256.1605,8076.3963,8074.2854,106.2183,1.3155,96248174.0,140599114.6981
000852.SH,20160126,7545.5442,8071.3632,8093.2376,7526.5939,8180.5037,-634.9595,-7.7619,120673951.0,165581391.7143
000852.SH,20160127,7466.7458,7557.4557,7585.8281,7047.7883,7545.5442,-78.7984,-1.0443,124251577.0,159481584.6615
000852.SH,20160128,7100.9014,7344.025,7438.6941,7067.5497,7466.7458,-365.8444,-4.8996,96362166.0,123800379.7954
000852.SH,20160129,7385.7587,7071.7522,7459.3688,7037.8287,7100.9014,284.8573,4.0116,102285179.0,131355165.7388
000852.SH,20160201,7292.6133,7358.7541,7420.4844,7163.9131,7385.7587,-93.1454,-1.2611,86843686.0,115888111.1973
000852.SH,20160202,7576.0654,7296.2228,7600.0761,7295.8018,7292.6133,283.4521,3.8868,97978432.0,132941491.8252
000852.SH,20160203,7630.4588,7480.3009,7665.6531,7428.8998,7576.0654,54.3934,0.718,94483564.0,125642740.7333
000852.SH,20160204,7807.4008,7661.6474,7839.2823,7661.6474,7630.4588,176.942,2.3189,108295716.0,147961157.2068
000852.SH,20160205,7718.7083,7828.6103,7856.7348,7716.2066,7807.4008,-88.6925,-1.136,86297862.0,116833713.3947
000852.SH,20160215,7726.37,7434.2747,7772.4885,7432.4031,7718.7083,7.6617,0.0993,78794684.0,104873393.2758
000852.SH,20160216,8069.5941,7767.03,8088.7117,7767.03,7726.37,343.2241,4.4422,115565925.0,160075994.9687
000852.SH,20160217,8202.1465,8060.9112,8214.9386,8010.8187,8069.5941,132.5524,1.6426,129697950.0,186376763.6984
000852.SH,20160218,8176.1396,8256.9519,8282.9097,8155.075,8202.1465,-26.0069,-0.3171,134063477.0,193574638.2079
000852.SH,20160219,8239.2559,8146.0621,8289.2078,8133.495,8176.1396,63.1163,0.772,112787021.0,168719500.8669
000852.SH,20160222,8407.8524,8350.2845,8407.8813,8303.2103,8239.2559,168.5965,2.0463,133158051.0,193573549.1483
000852.SH,20160223,8357.3553,8414.6744,8437.1553,8230.9821,8407.8524,-50.4971,-0.6006,130530937.0,192375010.0291
000852.SH,20160224,8364.6626,8316.8328,8399.4315,8160.9963,8357.3553,7.3073,0.0874,136094745.0,196294406.3412
000852.SH,20160225,7702.5912,8340.456,8340.5914,7673.2155,8364.6626,-662.0714,-7.9151,157436163.0,214208677.2534
000852.SH,20160226,7666.8226,7750.7347,7799.2948,7487.2702,7702.5912,-35.7686,-0.4644,121574171.0,158808004.7521
000852.SH,20160229,7183.6763,7614.1579,7614.1579,7113.0734,7666.8226,-483.1463,-6.3018,115344403.0,138384514.8556
000852.SH,20160301,7345.0859,7183.1137,7402.3052,7038.6123,7183.6763,161.4096,2.2469,115563408.0,144811421.3498
000852.SH,20160302,7711.886,7324.4908,7724.2956,7323.3659,7345.0859,366.8001,4.9938,147164819.0,183328415.4723
000852.SH,20160303,7727.1599,7711.2973,7875.9488,7693.9017,7711.886,15.2739,0.1981,157062423.0,200406263.1638
000852.SH,20160304,7418.8006,7684.9236,7735.5476,7321.5552,7727.1599,-308.3593,-3.9906,141152405.0,176786643.6166
000852.SH,20160307,7600.4372,7494.0383,7670.9569,7494.0383,7418.8006,181.6366,2.4483,110951408.0,140232207.5682
000852.SH,20160308,7670.6898,7585.8625,7670.9904,7276.674,7600.4372,70.2526,0.9243,131822526.0,165230013.7768
000852.SH,20160309,7500.17,7486.9493,7634.001,7430.4337,7670.6898,-170.5198,-2.223,101761865.0,131949670.8487
000852.SH,20160310,7376.6974,7503.4202,7568.2425,7364.2874,7500.17,-123.4726,-1.6463,87401499.0,116041794.0893
000852.SH,20160311,7349.567,7284.9483,7401.5122,7239.5583,7376.6974,-27.1304,-0.3678,75245882.0,97243487.9098
000852.SH,20160314,7640.1307,7441.0928,7715.6418,7441.0384,7349.567,290.5637,3.9535,120335729.0,162135152.8166
000852.SH,20160315,7571.8197,7612.9707,7668.8477,7537.7893,7640.1307,-68.311,-0.8941,99636094.0,138936751.6987
000852.SH,20160316,7484.2256,7633.747,7659.0533,7426.9515,7571.8197,-87.5941,-1.1568,91359384.0,125438589.3069
000852.SH,20160317,7779.8753,7514.6791,7795.7074,7514.5754,7484.2256,295.6497,3.9503,133550636.0,189804895.359
000852.SH,20160318,8097.2044,7823.5675,8118.7056,7820.2872,7779.8753,317.3291,4.0788,181322736.0,259300762.494
000852.SH,20160321,8325.977,8206.5274,8326.3818,8172.8511,8097.2044,228.7726,2.8253,191675070.0,276552346.9642
000852.SH,20160322,8311.2112,8248.53,8387.5537,8203.0854,8325.977,-14.7658,-0.1773,164074441.0,241633453.3082
000852.SH,20160323,8408.6385,8279.8812,8408.9476,8262.2601,8311.2112,97.4273,1.1722,146117448.0,226640670.7454
000852.SH,20160324,8279.6494,8324.8516,8453.3024,8247.2857,8408.6385,-128.9891,-1.534,160637356.0,251825671.5765
000852.SH,20160325,8343.2422,8252.4242,8353.0152,8211.835,8279.6494,63.5928,0.7681,124555552.0,190955255.1881
000852.SH,20160328,8298.7781,8400.2144,8482.5729,8266.5538,8343.2422,-44.4641,-0.5329,142988613.0,215928721.2538
000852.SH,20160329,8118.9963,8274.094,8292.4316,8040.7593,8298.7781,-179.7818,-2.1664,124650562.0,179588563.2755
000852.SH,20160330,8438.6835,8187.4497,8439.0886,8187.4497,8118.9963,319.6872,3.9375,139635610.0,211359323.6708
000852.SH,20160331,8447.1793,8475.4308,8541.4565,8414.8854,8438.6835,8.4958,0.1007,150139445.0,235920249.1422
000852.SH,20160401,8389.2866,8399.1772,8426.4603,8240.8726,8447.1793,-57.8927,-0.6853,127161059.0,189387452.178
000852.SH,20160405,8635.6667,8401.3427,8642.9812,8380.4561,8389.2866,246.3801,2.9368,156308363.0,235074762.302
000852.SH,20160406,8691.2299,8601.6581,8699.5213,8579.4286,8635.6667,55.5632,0.6434,159968936.0,247155543.1165
000852.SH,20160407,8549.5129,8715.0057,8733.5043,8549.5129,8691.2299,-141.717,-1.6306,158150556.0,244992635.9767
000852.SH,20160408,8484.1743,8465.831,8511.8715,8359.5345,8549.5129,-65.3386,-0.7642,133415289.0,204479384.3515
000852.SH,20160411,8677.4091,8560.0927,8719.2216,8560.0927,8484.1743,193.2348,2.2776,143629779.0,222708545.6986
000852.SH,20160412,8608.3738,8664.277,8688.7111,8501.0441,8677.4091,-69.0353,-0.7956,132072149.0,207203551.7905
000852.SH,20160413,8729.8406,8655.1948,8831.5868,8655.1948,8608.3738,121.4668,1.411,174063296.0,260240818.1965
000852.SH,20160414,8837.0181,8780.5477,8837.4385,8711.7886,8729.8406,107.1775,1.2277,139648321.0,211828651.4119
000852.SH,20160415,8841.0945,8840.5297,8866.0128,8777.9723,8837.0181,4.0764,0.0461,131207613.0,202686929.1946
000852.SH,20160418,8715.8501,8780.4555,8780.4555,8646.3322,8841.0945,-125.2444,-1.4166,126184987.0,195984858.2979
000852.SH,20160419,8754.5044,8755.2514,8784.3265,8678.9685,8715.8501,38.6543,0.4435,112831795.0,178222698.1687
000852.SH,20160420,8312.2012,8784.6453,8798.7786,8158.8195,8754.5044,-442.3032,-5.0523,180286506.0,268723825.4273
000852.SH,20160421,8198.5109,8268.0227,8382.2682,8185.3709,8312.2012,-113.6903,-1.3678,121190772.0,177356188.3261
000852.SH,20160422,8282.424,8130.8994,8282.9015,8112.3308,8198.5109,83.9131,1.0235,95979533.0,141605207.1287
000852.SH,20160425,8232.4778,8246.0287,8261.9447,8106.0703,8282.424,-49.9462,-0.603,89622024.0,131810737.6978
000852.SH,20160426,8343.4215,8218.4695,8343.712,8202.1521,8232.4778,110.9437,1.3476,88430554.0,129001739.7626
000852.SH,20160427,8323.4579,8357.2599,8426.833,8307.3876,8343.4215,-19.9636,-0.2393,102936177.0,150227601.593
000852.SH,20160428,8303.5569,8319.2197,8336.1265,8130.9266,8323.4579,-19.901,-0.2391,104958785.0,152800367.5332
000852.SH,20160429,8291.6985,8253.4843,8340.5799,8239.793,8303.5569,-11.8584,-0.1428,81485851.0,122400452.985
000852.SH,20160503,8558.5784,8290.7925,8558.5784,8256.6778,8291.6985,266.8799,3.2186,115718540.0,176283680.5131
000852.SH,20160504,8565.1143,8526.3106,8632.7026,8514.491,8558.5784,6.5359,0.0764,117296052.0,182218541.9152
000852.SH,20160505,8628.7405,8549.3298,8631.9806,8522.1457,8565.1143,63.6262,0.7429,102759921.0,159725097.1304
000852.SH,20160506,8276.0331,8632.4524,8663.0706,8275.9655,8628.7405,-352.7074,-4.0876,146570763.0,223215785.5008
