st_period,st_mult,n,k,atr_period,hv_threshold,total_return,annual_return,max_dd,max_dd_days,sharpe,calmar,daily_vol,n_trades,win_rate,profit_factor,avg_hold_days
34,4.9,22,5.5,1,0.99,0.23096410352156801,0.020592584987220608,-0.25434789067968644,735,0.017993163203407728,0.0809622793890354,0.15752643092745144,21,0.38095238095238093,2.1512041970364373,45.142857142857146
34,4.9,22,5.5,2,0.99,-0.33702219096667263,-0.03951549203424953,-0.4790616695188953,2500,-0.30208728583483535,-0.08248518833479945,0.17926586159102825,21,0.42857142857142855,0.8254191610425493,56.95238095238095
34,4.9,22,5.5,3,0.99,-0.089492222308347,-0.00915430549931695,-0.3694205259121586,2353,-0.11074643358478743,-0.024780175591796096,0.18998116562670844,17,0.47058823529411764,0.9498909213907796,85.11764705882354
34,4.9,22,5.5,4,0.99,-0.12848980249621486,-0.013399868464657794,-0.3823299406428112,2353,-0.134244450528168,-0.03504791814663691,0.1894494389731861,17,0.5294117647058824,0.6898900096457482,84.70588235294117
34,4.9,22,5.5,5,0.99,-0.059154014031483675,-0.005963427436001978,-0.37711198112778405,2294,-0.09412855540615256,-0.015813412817508112,0.18976532050201636,16,0.5,0.8578714406346132,91.625
34,4.9,22,5.5,6,0.99,-0.0006620350647998276,-6.496016532175908e-05,-0.3383873083951184,2219,-0.06186499285160582,-0.000191969863260676,0.19057399209827747,15,0.5333333333333333,0.8178314150797089,98.93333333333334
34,4.9,22,5.5,7,0.99,-0.2043491540660751,-0.02217393321293415,-0.3462011214513809,2353,-0.18500316119160967,-0.06404928187399928,0.18762332279863836,17,0.47058823529411764,0.7948922347171374,83.52941176470588
34,4.9,22,5.5,8,0.99,-0.20859657491400954,-0.022687206411581173,-0.3496912943096071,2353,-0.1880188484883737,-0.06487781303327082,0.18751426566025023,17,0.47058823529411764,0.780151225932508,82.94117647058823
34,4.9,22,5.5,9,0.99,-0.20328944560767234,-0.0220462595797557,-0.34533034225817955,2353,-0.18461855642620706,-0.06384107297259516,0.18746558104136704,17,0.47058823529411764,0.7970143916477737,82.94117647058823
34,4.9,22,5.5,10,0.99,-0.20328944560767234,-0.0220462595797557,-0.34533034225817955,2353,-0.18461855642620706,-0.06384107297259516,0.18746558104136704,17,0.47058823529411764,0.7970143916477737,82.94117647058823
34,4.9,22,5.5,11,0.99,-0.2620890644459308,-0.029373468693661975,-0.4167818125610875,2353,-0.22010569475412553,-0.07047684857735179,0.1895869727835047,18,0.4444444444444444,0.8734943947161194,79.88888888888889
34,4.9,22,5.5,12,0.99,-0.2620890644459308,-0.029373468693661975,-0.4167818125610875,2353,-0.22010569475412553,-0.07047684857735179,0.1895869727835047,18,0.4444444444444444,0.8734943947161194,79.88888888888889
34,4.9,22,5.5,13,0.99,-0.2620890644459308,-0.029373468693661975,-0.4167818125610875,2353,-0.22010569475412553,-0.07047684857735179,0.1895869727835047,18,0.4444444444444444,0.8734943947161194,79.88888888888889
34,4.9,22,5.5,14,0.99,-0.22536870252980526,-0.02473859152951574,-0.4167818125610875,2353,-0.19615623819372477,-0.05935621657168598,0.1890123817195693,18,0.4444444444444444,0.9134720780500434,79.83333333333333
34,4.9,22,5.5,15,0.99,-0.22536870252980526,-0.02473859152951574,-0.4167818125610875,2353,-0.19615623819372477,-0.05935621657168598,0.1890123817195693,18,0.4444444444444444,0.9134720780500434,79.83333333333333
34,4.9,22,5.5,16,0.99,-0.23817834375377128,-0.026332487974367935,-0.4167818125610875,2353,-0.204369078237289,-0.06318051119495142,0.1892248591859367,18,0.3888888888888889,1.1243857936423403,80.33333333333333
34,4.9,22,5.5,17,0.99,-0.09192580312910234,-0.009414398463019946,-0.359684971274927,1358,-0.11147372585603604,-0.026174011189986596,0.19038945610899405,17,0.4117647058823529,1.2883449121535153,86.47058823529412
34,4.9,22,5.5,18,0.99,-0.17473317601280683,-0.0186622107242288,-0.359684971274927,2353,-0.16309183713068665,-0.051884877641896934,0.18912839079054153,18,0.3888888888888889,1.260338982005911,79.83333333333333
34,4.9,22,5.5,19,0.99,-0.18522392558729778,-0.019892960348730115,-0.3678246231061767,2353,-0.1694461405391618,-0.054082731549453096,0.18927803677716287,18,0.3888888888888889,1.2438271467903872,80.05555555555556
