signal_date,exec_date,entry_date,direction,entry_price,exit_price,pnl,pnl_pct
2016-05-18,2016-05-19,2016-01-18,long,2503.9595,2448.1683,-22881.25,-0.022868
2016-12-12,2016-12-13,2016-06-07,long,2695.1942,2851.3367,56064.84,0.057299
2017-04-17,2017-04-18,2017-02-10,long,2960.0719,2762.5804,-69753.52,-0.067278
2017-07-26,2017-07-27,2017-07-07,long,2535.8449,2377.5937,-61090.71,-0.062968
2017-11-03,2017-11-06,2017-08-18,long,2468.3376,2434.6927,-12941.64,-0.014222
2018-06-08,2018-06-11,2018-03-02,long,2075.0425,1995.046,-35260.84,-0.039129
2018-12-19,2018-12-20,2018-11-06,long,1551.1963,1528.934,-13014.95,-0.014943
2019-05-07,2019-05-08,2019-01-16,long,1597.6829,1733.6858,72548.09,0.084474
2019-08-01,2019-08-02,2019-07-02,long,1855.2168,1707.6187,-74780.18,-0.080111
2019-11-05,2019-11-06,2019-08-23,long,1753.0839,1749.6071,-2219.05,-0.002582
2020-03-31,2020-04-01,2019-12-11,long,1762.7559,1803.8519,19487.4,0.0227
2020-09-28,2020-09-29,2020-06-02,long,1949.9788,2175.9524,101396.27,0.115216
2020-11-27,2020-11-30,2020-10-13,long,2360.7501,2210.3976,-63073.34,-0.06425
2021-10-20,2021-10-21,2021-02-22,long,2051.5429,2370.9167,142822.72,0.154982
2022-01-27,2022-01-28,2021-11-12,long,2483.3597,2337.0782,-63357.08,-0.059469
2022-09-16,2022-09-19,2022-05-19,long,2126.5293,2235.0827,50724.81,0.050417
2022-12-22,2022-12-23,2022-10-18,long,2322.8669,2223.4831,-45866.94,-0.043359
2023-04-21,2023-04-24,2023-01-06,long,2365.4063,2366.182,-275.58,-0.000272
2023-08-09,2023-08-10,2023-06-15,long,2482.2733,2386.5771,-39689.22,-0.039129
2023-12-26,2023-12-27,2023-10-31,long,2356.0881,2285.81,-29730.24,-0.03041
2024-05-23,2024-05-24,2024-02-26,long,2043.6886,2026.0238,-8775.7,-0.009238
2025-01-06,2025-01-07,2024-09-26,long,1861.5923,2191.7444,167094.25,0.176643
2025-04-24,2025-04-25,2025-02-10,long,2512.8083,2405.7869,-48095.07,-0.043165
2026-07-08,2026-07-09,2025-05-07,long,2558.2591,3149.7187,245769.52,0.230458
