signal_date,exec_date,entry_date,direction,entry_price,exit_price,pnl,pnl_pct
2016-02-29,2016-03-01,2016-01-18,long,2503.9595,2217.0478,-115182.41,-0.115114
2016-05-09,2016-05-10,2016-03-24,long,2641.7027,2537.4952,-35472.62,-0.040023
2016-07-27,2016-07-28,2016-06-07,long,2695.1942,2697.5977,248.16,0.000291
2016-12-02,2016-12-05,2016-08-22,long,2847.2428,3020.6653,51408.57,0.060272
2017-03-30,2017-03-31,2017-02-10,long,2960.0719,2872.761,-27270.46,-0.030078
2017-07-17,2017-07-18,2017-07-07,long,2535.8449,2294.721,-84417.36,-0.095629
2017-10-18,2017-10-19,2017-08-18,long,2468.3376,2491.3391,6965.5,0.008713
2018-03-23,2018-03-26,2018-03-02,long,2075.0425,1960.2389,-45311.66,-0.055893
2018-11-29,2018-11-30,2018-11-06,long,1551.1963,1536.875,-7588.18,-0.009827
2019-01-29,2019-01-30,2019-01-16,long,1597.6829,1491.0513,-51553.19,-0.067301
2019-04-26,2019-04-29,2019-02-13,long,1592.6456,1868.3627,123218.93,0.172415
2019-07-22,2019-07-23,2019-07-02,long,1855.2168,1704.4942,-68703.87,-0.081794
2019-09-26,2019-09-27,2019-08-23,long,1753.0839,1761.7072,3333.34,0.004316
2020-01-23,2020-02-03,2019-12-11,long,1762.7559,1696.9522,-29486.21,-0.037908
2020-03-18,2020-03-19,2020-02-11,long,1843.7241,1828.8041,-6503.58,-0.008687
2020-07-16,2020-07-17,2020-06-02,long,1949.9788,2146.0337,74339.35,0.099882
2020-09-10,2020-09-11,2020-08-04,long,2373.4664,2192.1419,-63037.35,-0.076951
2020-12-09,2020-12-10,2020-10-13,long,2360.7501,2180.9288,-58071.25,-0.076725
2021-07-28,2021-07-29,2021-02-22,long,2051.5429,2223.614,58314.99,0.083224
2021-09-27,2021-09-28,2021-08-03,long,2366.3422,2365.6688,-671.33,-0.000884
2022-01-20,2022-01-21,2021-11-12,long,2483.3597,2528.6697,13397.62,0.017635
2022-08-26,2022-08-29,2022-05-19,long,2126.5293,2407.644,102124.0,0.131515
2022-12-19,2022-12-20,2022-10-18,long,2322.8669,2291.3564,-12461.14,-0.014157
2023-03-07,2023-03-08,2023-01-06,long,2365.4063,2486.8652,44040.73,0.050717
2023-06-26,2023-06-27,2023-06-15,long,2482.2733,2404.1169,-29373.77,-0.032067
2023-12-18,2023-12-19,2023-10-31,long,2356.0881,2373.5187,6053.61,0.006794
2024-04-15,2024-04-16,2024-02-26,long,2043.6886,1839.33,-90414.74,-0.100535
2024-12-23,2024-12-24,2024-09-26,long,1861.5923,2396.9567,233534.86,0.286812
2025-03-31,2025-04-01,2025-02-10,long,2512.8083,2520.626,2633.46,0.002509
2025-09-04,2025-09-05,2025-05-07,long,2558.2591,2950.3387,160723.86,0.152568
2026-03-17,2026-03-18,2025-12-26,long,3224.2871,3387.3933,60921.84,0.049956
2026-05-29,2026-06-01,2026-04-20,long,3520.3246,3454.8225,-24610.37,-0.019196
