ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
399006.SZ,20160104,2491.24,2706.275,2710.299,2490.469,2714.048,-222.808,-8.2094,12240174.47,34690876.84809
399006.SZ,20160105,2416.725,2353.233,2481.202,2333.608,2491.24,-74.515,-2.9911,18289330.5,48529951.84063
399006.SZ,20160106,2468.366,2433.358,2472.19,2388.69,2416.725,51.641,2.1368,14194459.13,40120477.28187
399006.SZ,20160107,2256.524,2415.329,2415.329,2254.496,2468.366,-211.842,-8.5823,3875525.59,10070549.92143
399006.SZ,20160108,2248.99,2297.592,2318.123,2142.326,2256.524,-7.534,-0.3339,16502293.9,42326631.94266
399006.SZ,20160111,2106.358,2188.188,2230.423,2105.771,2248.99,-142.632,-6.342,15208926.9,37731800.67952
399006.SZ,20160112,2147.531,2117.251,2179.088,2087.272,2106.358,41.173,1.9547,14396596.54,36459528.2556
399006.SZ,20160113,2059.776,2160.323,2174.227,2059.776,2147.531,-87.755,-4.0863,12465368.58,30616308.65749
399006.SZ,20160114,2175.012,1991.232,2179.379,1989.865,2059.776,115.236,5.5946,15648666.41,37883978.78146
399006.SZ,20160115,2112.902,2160.174,2184.563,2096.186,2175.012,-62.11,-2.8556,15910294.01,37021351.35168
399006.SZ,20160118,2174.934,2074.858,2206.835,2074.858,2112.902,62.032,2.9359,16267626.9,37643016.06528
399006.SZ,20160119,2241.696,2170.094,2244.785,2148.72,2174.934,66.762,3.0696,17700322.0,42165841.70798
399006.SZ,20160120,2204.648,2222.601,2249.355,2190.505,2241.696,-37.048,-1.6527,15451188.53,36631031.68365
399006.SZ,20160121,2112.404,2173.315,2241.471,2112.404,2204.648,-92.244,-4.1841,14945202.85,34236585.5422
399006.SZ,20160122,2149.586,2140.281,2161.236,2078.117,2112.404,37.182,1.7602,13609891.45,29320081.80924
399006.SZ,20160125,2158.824,2165.726,2185.213,2136.875,2149.586,9.238,0.4298,11334177.91,25068789.2883
399006.SZ,20160126,1994.047,2132.217,2135.565,1990.514,2158.824,-164.777,-7.6327,13385707.62,28932546.76312
399006.SZ,20160127,1997.465,1997.316,2012.296,1888.25,1994.047,3.418,0.1714,15926521.0,32691894.46195
399006.SZ,20160128,1906.461,1969.309,1990.916,1900.882,1997.465,-91.004,-4.556,11454203.89,23351736.31709
399006.SZ,20160129,1994.065,1908.262,2011.057,1907.289,1906.461,87.604,4.5951,12809874.93,26899449.77638
399006.SZ,20160201,1992.695,1989.207,2011.679,1956.92,1994.065,-1.37,-0.0687,11156089.2,23757806.30925
399006.SZ,20160202,2075.287,1996.594,2089.214,1996.594,1992.695,82.592,4.1447,13287649.25,29444891.25327
399006.SZ,20160203,2090.513,2049.324,2105.38,2034.602,2075.287,15.226,0.7337,12089846.31,27067876.14159
399006.SZ,20160204,2126.636,2095.617,2142.869,2095.617,2090.513,36.123,1.7279,13143008.22,30229997.51186
399006.SZ,20160205,2096.986,2127.347,2141.556,2096.986,2126.636,-29.65,-1.3942,9064702.65,21097333.61831
399006.SZ,20160215,2116.838,2029.556,2130.362,2029.556,2096.986,19.852,0.9467,10100667.95,22602402.13036
399006.SZ,20160216,2201.925,2128.056,2208.572,2128.056,2116.838,85.087,4.0195,13912171.3,33527171.60801
399006.SZ,20160217,2215.341,2197.925,2219.783,2170.998,2201.925,13.416,0.6093,14618497.34,33892026.43109
399006.SZ,20160218,2190.911,2230.799,2239.91,2188.187,2215.341,-24.43,-1.1028,14019500.93,32817923.78032
399006.SZ,20160219,2211.006,2186.015,2230.216,2182.959,2190.911,20.095,0.9172,13407241.52,31840088.87197
399006.SZ,20160222,2245.564,2235.17,2245.564,2216.156,2211.006,34.558,1.563,15090614.9,37118424.01057
399006.SZ,20160223,2218.119,2245.75,2249.691,2189.527,2245.564,-27.445,-1.2222,13926609.59,34508757.08209
399006.SZ,20160224,2203.741,2212.589,2230.006,2154.274,2218.119,-14.378,-0.6482,12884021.69,31586512.33169
399006.SZ,20160225,2037.143,2198.928,2198.928,2030.42,2203.741,-166.598,-7.5598,15298955.1,35410092.17777
399006.SZ,20160226,2014.92,2045.51,2057.802,1980.166,2037.143,-22.223,-1.0909,12366693.47,27393046.85257
399006.SZ,20160229,1880.146,2000.572,2000.572,1866.25,2014.92,-134.774,-6.6888,13247568.05,27442483.97412
399006.SZ,20160301,1934.919,1881.321,1952.432,1841.224,1880.146,54.773,2.9132,13456661.17,28130045.24982
399006.SZ,20160302,2017.604,1930.842,2022.863,1925.023,1934.919,82.685,4.2733,16949154.82,33986258.80014
399006.SZ,20160303,2007.076,2014.179,2063.531,2006.707,2017.604,-10.528,-0.5218,16805473.6,35109123.11507
399006.SZ,20160304,1907.041,1994.061,2003.689,1895.396,2007.076,-100.035,-4.9841,15220975.09,30180366.28694
399006.SZ,20160307,1953.332,1935.093,1995.937,1935.093,1907.041,46.291,2.4274,11623160.7,23586936.62338
399006.SZ,20160308,2002.191,1944.648,2002.191,1865.65,1953.332,48.859,2.5013,15627421.76,30777183.94942
399006.SZ,20160309,1970.813,1962.277,2015.706,1947.045,2002.191,-31.378,-1.5672,13303672.37,26228076.24895
399006.SZ,20160310,1936.968,1968.766,1991.357,1935.119,1970.813,-33.845,-1.7173,10508018.2,22314497.80533
399006.SZ,20160311,1934.87,1911.325,1948.601,1903.924,1936.968,-2.098,-0.1083,8487655.64,17130416.71097
399006.SZ,20160314,2023.128,1962.105,2048.497,1962.105,1934.87,88.258,4.5614,16134405.48,34589588.68932
399006.SZ,20160315,1996.92,2016.807,2034.702,1995.456,2023.128,-26.208,-1.2954,12167059.89,25538884.27804
399006.SZ,20160316,1977.538,2029.919,2039.486,1961.418,1996.92,-19.382,-0.9706,12220455.27,25677500.72834
399006.SZ,20160317,2087.293,1986.144,2089.136,1986.144,1977.538,109.755,5.5501,21074139.27,46452580.28597
399006.SZ,20160318,2177.87,2102.19,2194.355,2102.079,2087.293,90.577,4.3394,25596839.1,59078987.17975
399006.SZ,20160321,2227.034,2214.913,2234.35,2191.662,2177.87,49.164,2.2574,25540998.14,62305308.35312
399006.SZ,20160322,2221.702,2201.194,2248.186,2189.935,2227.034,-5.332,-0.2394,21060006.65,48735069.00752
399006.SZ,20160323,2259.106,2214.87,2259.106,2205.072,2221.702,37.404,1.6836,19052794.26,47906638.72362
399006.SZ,20160324,2219.77,2234.215,2277.917,2217.843,2259.106,-39.336,-1.7412,21400929.07,55211267.57213
399006.SZ,20160325,2216.086,2209.26,2232.073,2183.601,2219.77,-3.684,-0.166,15154009.2,37179629.43779
399006.SZ,20160328,2199.685,2233.131,2259.131,2192.35,2216.086,-16.401,-0.7401,16260472.48,40556829.59183
399006.SZ,20160329,2152.548,2190.875,2194.885,2130.851,2199.685,-47.137,-2.1429,14170516.04,36286919.13673
399006.SZ,20160330,2248.783,2172.741,2248.783,2172.741,2152.548,96.235,4.4707,17405975.02,45938026.80677
399006.SZ,20160331,2238.286,2256.431,2271.964,2232.302,2248.783,-10.497,-0.4668,18124976.45,48357366.59026
399006.SZ,20160401,2205.369,2223.377,2226.998,2171.341,2238.286,-32.917,-1.4706,15701246.07,40964810.77151
399006.SZ,20160405,2279.52,2207.464,2285.201,2205.438,2205.369,74.151,3.3623,19764938.41,51013395.81283
399006.SZ,20160406,2297.041,2274.772,2305.409,2271.502,2279.52,17.521,0.7686,20912036.21,53867287.01256
399006.SZ,20160407,2248.684,2310.923,2316.629,2248.684,2297.041,-48.357,-2.1052,20302345.13,52062248.80397
399006.SZ,20160408,2229.934,2230.951,2239.805,2194.234,2248.684,-18.75,-0.8338,17946971.66,44668861.37386
399006.SZ,20160411,2283.143,2255.069,2301.412,2255.069,2229.934,53.209,2.3861,19946625.39,50305784.62929
399006.SZ,20160412,2264.016,2283.211,2289.545,2236.442,2283.143,-19.127,-0.8377,17078210.48,43188526.15176
399006.SZ,20160413,2294.015,2278.522,2330.055,2278.522,2264.016,29.999,1.325,21776634.76,57540166.96371
399006.SZ,20160414,2324.394,2310.596,2325.378,2289.567,2294.015,30.379,1.3243,18334978.09,45817203.18426
399006.SZ,20160415,2309.676,2328.312,2328.312,2297.675,2324.394,-14.718,-0.6332,14526977.06,37341335.62124
399006.SZ,20160418,2265.593,2288.42,2288.42,2249.339,2309.676,-44.083,-1.9086,14309772.06,35185179.51947
399006.SZ,20160419,2272.52,2278.307,2289.049,2253.592,2265.593,6.927,0.3057,13004320.38,31835138.05149
399006.SZ,20160420,2145.239,2279.758,2284.104,2119.424,2272.52,-127.281,-5.6009,21667036.26,49474321.00951
399006.SZ,20160421,2110.162,2135.932,2160.258,2106.968,2145.239,-35.077,-1.6351,12784062.96,28431867.63593
399006.SZ,20160422,2136.924,2093.781,2136.924,2090.95,2110.162,26.762,1.2682,10471911.79,24543828.07126
399006.SZ,20160425,2126.834,2128.655,2130.06,2083.635,2136.924,-10.09,-0.4722,9557990.94,21483142.67893
399006.SZ,20160426,2155.697,2123.874,2155.697,2119.379,2126.834,28.863,1.3571,8911518.34,19957192.72594
399006.SZ,20160427,2146.611,2162.762,2176.333,2142.462,2155.697,-9.086,-0.4215,10479199.6,23940155.40513
399006.SZ,20160428,2155.229,2149.102,2158.492,2108.268,2146.611,8.618,0.4015,10123270.34,23283082.35367
399006.SZ,20160429,2138.738,2141.58,2162.194,2138.738,2155.229,-16.491,-0.7652,8024639.86,19069602.05225
399006.SZ,20160503,2217.23,2138.963,2217.23,2126.874,2138.738,78.492,3.67,14551231.61,33735215.32421
