signal_date,exec_date,entry_date,direction,entry_price,exit_price,pnl,pnl_pct
2016-03-24,2016-03-25,2016-01-19,long,2.316,2.538,95854.92,0.095855
2016-04-21,2016-04-22,2016-03-25,short,2.538,2.61,-31088.08,-0.028369
2016-05-25,2016-05-26,2016-04-22,long,2.61,2.587,-9383.0,-0.008812
2016-06-07,2016-06-08,2016-05-26,short,2.587,2.646,-24069.44,-0.022806
2016-06-22,2016-06-23,2016-06-08,long,2.646,2.672,10133.85,0.009826
2016-06-24,2016-06-27,2016-06-23,short,2.672,2.835,-63531.46,-0.061003
2016-08-29,2016-08-30,2016-06-27,long,2.835,2.835,0.0,0.0
2016-09-07,2016-09-08,2016-08-30,short,2.835,2.89,-18971.93,-0.0194
2016-09-19,2016-09-20,2016-09-08,long,2.89,2.827,-20904.33,-0.021799
2016-11-01,2016-11-02,2016-09-20,short,2.827,2.825,663.63,0.000707
2016-11-11,2016-11-14,2016-11-02,long,2.825,2.675,-49842.7,-0.053097
2017-01-10,2017-01-11,2016-11-14,short,2.675,2.667,2658.28,0.002991
2017-01-26,2017-02-03,2017-01-11,long,2.667,2.673,2005.67,0.00225
2017-02-06,2017-02-07,2017-02-03,short,2.673,2.726,-17716.74,-0.019828
2017-03-07,2017-03-08,2017-02-07,long,2.726,2.717,-2891.52,-0.003302
2017-03-16,2017-03-17,2017-03-08,short,2.717,2.755,-12208.63,-0.013986
2017-04-26,2017-04-27,2017-03-17,long,2.755,2.8,14058.76,0.016334
2017-05-18,2017-05-19,2017-04-27,short,2.8,2.787,4061.42,0.004643
2017-06-12,2017-06-13,2017-05-19,long,2.787,2.767,-6306.63,-0.007176
2017-07-21,2017-07-24,2017-06-13,short,2.767,2.739,8829.28,0.010119
2017-09-21,2017-09-22,2017-07-24,long,2.739,2.733,-1930.67,-0.002191
2017-12-19,2017-12-20,2017-09-22,short,2.733,2.687,14801.81,0.016831
2018-01-30,2018-01-31,2017-12-20,long,2.687,2.732,14975.81,0.016747
2018-03-23,2018-03-26,2018-01-31,short,2.732,2.75,-5990.33,-0.006589
2018-03-29,2018-03-30,2018-03-26,long,2.75,2.689,-20034.79,-0.022182
