signal_date,exec_date,entry_date,direction,entry_price,exit_price,pnl,pnl_pct
2018-02-05,2018-02-06,2016-03-28,long,2042.67,2593.07,269451.26,0.269451
2018-02-26,2018-02-27,2018-02-06,short,2593.07,2789.15,-95992.01,-0.075617
2018-10-11,2018-10-12,2018-02-27,long,2789.15,2729.44,-25121.36,-0.021408
2019-01-31,2019-02-01,2018-10-12,short,2729.44,2716.66,5376.84,0.004682
2020-02-25,2020-02-26,2019-02-01,long,2716.66,3108.99,166615.22,0.144416
2020-04-09,2020-04-13,2020-02-26,short,3108.99,2782.46,138671.19,0.105028
2022-01-21,2022-01-24,2020-04-13,long,2782.46,4222.62,755157.33,0.517585
2023-02-02,2023-02-03,2022-01-24,short,4222.62,4182.36,21110.59,0.009534
2023-10-03,2023-10-04,2023-02-03,long,4182.36,4220.48,20373.3,0.009114
2023-11-14,2023-11-15,2023-10-04,short,4220.48,4521.17,-160704.26,-0.071245
2024-08-05,2024-08-06,2023-11-15,long,4521.17,5193.56,311559.93,0.14872
2024-08-21,2024-08-22,2024-08-06,short,5193.56,5643.22,-208355.33,-0.08658
2025-03-10,2025-03-11,2024-08-22,long,5643.22,5528.41,-44720.7,-0.020345
2025-05-12,2025-05-13,2025-03-11,short,5528.41,5906.64,-147327.86,-0.068416
2026-03-20,2026-03-23,2025-05-13,long,5906.64,6565.55,223788.06,0.111554
2026-04-15,2026-04-16,2026-03-23,short,6565.55,7051.23,-164953.31,-0.073974
,2026-07-31,2026-04-16,long,7051.23,7489.7248,128411.72,0.062187
