ts_code,trade_date,open,close,high,low,pre_close,change,pct_chg,swing,vol
SPX,20160104,2038.2,2012.66,2038.2,1989.6801,2043.94,-31.28,-1.5304,2.37,430488.0
SPX,20160105,2013.78,2016.71,2021.9399,2004.17,2012.66,4.05,0.2012,0.88,370662.0
SPX,20160106,2011.71,1990.26,2011.71,1979.05,2016.71,-26.45,-1.3115,1.62,433666.0
SPX,20160107,1985.3199,1943.09,1985.3199,1938.83,1990.26,-47.17,-2.37,2.34,507659.0
SPX,20160108,1945.97,1922.03,1960.4,1918.46,1943.09,-21.06,-1.0838,2.16,466494.0
SPX,20160111,1926.12,1923.67,1935.65,1901.1,1922.03,1.64,0.0853,1.8,460729.0
SPX,20160112,1927.83,1938.68,1947.38,1914.35,1923.67,15.01,0.7803,1.72,488726.0
SPX,20160113,1940.34,1890.28,1950.33,1886.41,1938.68,-48.4,-2.4965,3.3,508703.0
SPX,20160114,1891.6801,1921.84,1934.47,1878.9301,1890.28,31.56,1.6696,2.94,524111.0
SPX,20160115,1916.6801,1880.33,1916.6801,1857.83,1921.84,-41.51,-2.1599,3.06,546846.0
SPX,20160119,1888.66,1881.33,1901.4399,1864.6,1880.33,1.0,0.0532,1.96,492835.0
SPX,20160120,1876.1801,1859.33,1876.1801,1812.29,1881.33,-22.0,-1.1694,3.4,641607.0
SPX,20160121,1861.46,1868.99,1889.85,1848.98,1859.33,9.66,0.5195,2.2,507881.0
SPX,20160122,1877.4,1906.9,1908.85,1877.4,1868.99,37.91,2.0284,1.68,490176.0
SPX,20160125,1906.28,1877.08,1906.28,1875.97,1906.9,-29.82,-1.5638,1.59,440138.0
SPX,20160126,1878.79,1903.63,1906.73,1878.79,1877.08,26.55,1.4144,1.49,435794.0
SPX,20160127,1902.52,1882.95,1916.99,1872.7,1903.63,-20.68,-1.0863,2.33,475404.0
SPX,20160128,1885.22,1893.36,1902.96,1873.65,1882.95,10.41,0.5529,1.56,469301.0
SPX,20160129,1894.0,1940.24,1940.24,1894.0,1893.36,46.88,2.476,2.44,549757.0
SPX,20160201,1936.9399,1939.38,1947.2,1920.3,1940.24,-0.86,-0.0443,1.39,432253.0
SPX,20160202,1935.26,1903.03,1935.26,1897.29,1939.38,-36.35,-1.8743,1.96,446319.0
