ts_code,trade_date,open,close,high,low,pre_close,change,pct_chg,swing,vol
SPX,20210104,3764.61,3700.65,3769.99,3662.71,3756.07,-55.42,-1.4755,2.86,501500.0
SPX,20210105,3698.02,3726.86,3737.83,3695.07,3700.65,26.21,0.7083,1.16,459102.0
SPX,20210106,3712.2,3748.14,3783.04,3705.34,3726.86,21.28,0.571,2.08,606411.0
SPX,20210107,3764.71,3803.79,3811.55,3764.71,3748.14,55.65,1.4847,1.25,509916.0
SPX,20210108,3815.05,3824.68,3826.69,3783.6,3803.79,20.89,0.5492,1.13,477304.0
SPX,20210111,3803.14,3799.61,3817.86,3789.02,3824.68,-25.07,-0.6555,0.75,446543.0
SPX,20210112,3801.62,3801.19,3810.78,3776.51,3799.61,1.58,0.0416,0.9,499495.0
SPX,20210113,3802.23,3809.84,3820.96,3791.5,3801.19,8.65,0.2276,0.78,460251.0
SPX,20210114,3814.98,3795.54,3823.6,3792.86,3809.84,-14.3,-0.3753,0.81,519848.0
SPX,20210115,3788.73,3768.25,3788.73,3749.62,3795.54,-27.29,-0.719,1.03,536982.0
SPX,20210119,3781.88,3798.91,3804.53,3780.37,3768.25,30.66,0.8136,0.64,501444.0
SPX,20210120,3816.22,3851.85,3859.75,3816.22,3798.91,52.94,1.3936,1.15,456619.0
SPX,20210121,3857.46,3853.07,3861.45,3845.05,3851.85,1.22,0.0317,0.43,450176.0
SPX,20210122,3844.24,3841.47,3852.31,3830.41,3853.07,-11.6,-0.3011,0.57,511089.0
SPX,20210125,3851.68,3855.36,3859.23,3797.16,3841.47,13.89,0.3616,1.62,700084.0
SPX,20210126,3862.96,3849.62,3870.9,3847.78,3855.36,-5.74,-0.1489,0.6,613750.0
SPX,20210127,3836.83,3750.77,3836.83,3732.48,3849.62,-98.85,-2.5678,2.71,997652.0
SPX,20210128,3755.75,3787.38,3830.5,3755.75,3750.77,36.61,0.9761,1.99,699277.0
SPX,20210129,3778.05,3714.24,3778.05,3694.12,3787.38,-73.14,-1.9312,2.22,664337.0
SPX,20210201,3731.17,3773.86,3784.32,3725.62,3714.24,59.62,1.6052,1.58,543623.0
SPX,20210202,3791.84,3826.31,3843.09,3791.84,3773.86,52.45,1.3898,1.36,551409.0
SPX,20210203,3840.27,3830.17,3847.51,3816.68,3826.31,3.86,0.1009,0.81,486487.0
SPX,20210204,3836.66,3871.74,3872.42,3836.66,3830.17,41.57,1.0853,0.93,487924.0
SPX,20210205,3878.3,3886.83,3894.56,3874.93,3871.74,15.09,0.3897,0.51,487947.0
SPX,20210208,3892.59,3915.59,3915.77,3892.59,3886.83,28.76,0.7399,0.6,464836.0
SPX,20210209,3910.49,3911.23,3918.35,3902.64,3915.59,-4.36,-0.1114,0.4,456832.0
SPX,20210210,3920.78,3909.88,3931.5,3884.94,3911.23,-1.35,-0.0345,1.19,483707.0
SPX,20210211,3916.4,3916.38,3925.99,3890.39,3909.88,6.5,0.1662,0.91,459096.0
SPX,20210212,3911.65,3934.83,3937.23,3905.78,3916.38,18.45,0.4711,0.8,413506.0
