signal_date,exec_date,entry_date,direction,entry_price,exit_price,pnl,pnl_pct
2018-02-02,2018-02-05,2017-08-31,long,2475.01,2638.17,65922.97,0.065923
2018-02-14,2018-02-15,2018-02-05,short,2638.17,2731.51,-37712.98,-0.035381
2018-03-22,2018-03-23,2018-02-15,long,2731.51,2585.89,-54815.08,-0.053311
2018-04-17,2018-04-18,2018-03-23,short,2585.89,2717.49,-49537.59,-0.050892
2018-10-10,2018-10-11,2018-04-18,long,2717.49,2710.51,-2372.97,-0.002569
2018-11-07,2018-11-08,2018-10-11,short,2710.51,2814.75,-35438.18,-0.038458
2018-11-19,2018-11-20,2018-11-08,long,2814.75,2631.52,-57678.39,-0.065096
2018-11-30,2018-12-03,2018-11-20,short,2631.52,2800.18,-53091.94,-0.064092
2018-12-07,2018-12-10,2018-12-03,long,2800.18,2583.23,-60066.17,-0.077477
2018-12-31,2019-01-02,2018-12-10,short,2583.23,2519.49,17647.47,0.024675
2019-05-13,2019-05-14,2019-01-02,long,2519.49,2820.12,87445.81,0.119322
2019-06-10,2019-06-11,2019-05-14,short,2820.12,2910.61,-26321.3,-0.032087
2019-08-05,2019-08-06,2019-06-11,long,2910.61,2847.42,-17237.52,-0.02171
2019-09-05,2019-09-06,2019-08-06,short,2847.42,2985.03,-37538.46,-0.048328
2020-02-24,2020-02-25,2019-09-06,long,2985.03,3118.77,33119.05,0.044804
2020-03-02,2020-03-03,2020-02-25,short,3118.77,3136.72,-4445.09,-0.005755
2020-03-09,2020-03-10,2020-03-03,long,3136.72,2734.0,-98587.21,-0.128389
2020-03-24,2020-03-25,2020-03-10,short,2734.0,2571.42,39800.13,0.059466
2020-06-11,2020-06-12,2020-03-25,long,2571.42,2984.47,113902.31,0.160631
2020-07-15,2020-07-16,2020-06-12,short,2984.47,3220.39,-65057.09,-0.079049
2020-09-08,2020-09-09,2020-07-16,long,3220.39,3366.84,34467.87,0.045476
2020-10-08,2020-10-09,2020-09-09,short,3366.84,3482.34,-27183.61,-0.034305
2020-10-28,2020-10-29,2020-10-09,long,3482.34,3259.82,-48897.35,-0.0639
2020-11-05,2020-11-06,2020-10-29,short,3259.82,3521.58,-57520.09,-0.080299
2021-09-30,2021-10-01,2020-11-06,long,3521.58,4288.52,143476.39,0.217783
2021-10-20,2021-10-21,2021-10-01,short,4288.52,4551.44,-49186.13,-0.061308
2022-01-18,2022-01-19,2021-10-21,long,4551.44,4530.2,-3514.43,-0.004667
2022-02-01,2022-02-02,2022-01-19,short,4530.2,4595.31,-10773.29,-0.014372
2022-02-22,2022-02-23,2022-02-02,long,4595.31,4221.51,-60097.38,-0.081344
2022-03-18,2022-03-21,2022-02-23,short,4221.51,4481.75,-41839.87,-0.061646
2022-04-22,2022-04-25,2022-03-21,long,4481.75,4200.82,-39920.98,-0.062683
2022-05-27,2022-05-31,2022-04-25,short,4200.82,4168.34,4615.5,0.007732
2022-06-13,2022-06-14,2022-05-31,long,4168.34,3705.68,-66769.93,-0.110994
2022-07-20,2022-07-21,2022-06-14,short,3705.68,3999.29,-42373.06,-0.079232
2022-08-30,2022-08-31,2022-07-21,long,3999.29,3954.53,-5511.17,-0.011192
2022-10-28,2022-10-31,2022-08-31,short,3954.53,3893.73,7486.13,0.015375
2023-03-10,2023-03-13,2022-10-31,long,3893.73,3808.86,-10776.15,-0.021797
2023-04-18,2023-04-19,2023-03-13,short,3808.86,4162.57,-44911.42,-0.092865
2023-09-26,2023-09-27,2023-04-19,long,4162.57,4238.63,8016.25,0.018272
2023-11-10,2023-11-13,2023-09-27,short,4238.63,4421.76,-19300.75,-0.043205
2024-04-19,2024-04-22,2023-11-13,long,4421.76,4969.4,52936.98,0.123851
2024-05-14,2024-05-15,2024-04-22,short,4969.4,5311.76,-33093.83,-0.068894
2024-08-02,2024-08-05,2024-05-15,long,5311.76,5119.26,-16209.12,-0.03624
2024-08-14,2024-08-15,2024-08-05,short,5119.26,5546.23,-35952.26,-0.083405
2025-03-03,2025-03-04,2024-08-15,long,5546.23,5732.59,13276.04,0.033601
2025-04-09,2025-04-10,2025-03-04,short,5732.59,5353.15,27030.8,0.06619
2025-11-20,2025-11-21,2025-04-10,long,5353.15,6521.92,95065.06,0.218333
2025-12-24,2025-12-26,2025-11-21,short,6521.92,6945.77,-34474.98,-0.064989
2026-03-13,2026-03-16,2025-12-26,long,6945.77,6674.37,-19380.89,-0.039074
2026-04-08,2026-04-09,2026-03-16,short,6674.37,6835.31,-11492.85,-0.024113
,2026-07-31,2026-04-09,long,6835.31,7489.7248,44531.62,0.09574
