signal_date,exec_date,entry_date,direction,entry_price,exit_price,pnl,pnl_pct
2016-06-27,2016-06-28,2016-03-08,long,1996.88,2006.67,4902.65,0.004903
2016-07-08,2016-07-11,2016-06-28,short,2006.67,2143.1599,-68351.58,-0.068018
2016-11-02,2016-11-03,2016-07-11,long,2143.1599,2085.23,-25315.1,-0.02703
2016-11-17,2016-11-18,2016-11-03,short,2085.23,2189.8899,-45735.9,-0.050191
2018-02-02,2018-02-05,2016-11-18,long,2189.8899,2638.17,177171.67,0.204704
2018-02-15,2018-02-16,2018-02-05,short,2638.17,2754.42,-45944.95,-0.044065
2018-03-23,2018-03-26,2018-02-16,long,2754.42,2601.81,-55224.14,-0.055405
2018-06-11,2018-06-12,2018-03-26,short,2601.81,2789.8,-68026.91,-0.072254
2018-10-10,2018-10-11,2018-06-12,long,2789.8,2710.51,-24825.4,-0.028421
2019-01-15,2019-01-16,2018-10-11,short,2710.51,2625.76,26534.9,0.031267
2019-05-28,2019-05-29,2019-01-16,long,2625.76,2766.06,46763.03,0.053432
2019-06-18,2019-06-19,2019-05-29,short,2766.06,2931.74,-55222.37,-0.059897
2019-08-05,2019-08-06,2019-06-19,long,2931.74,2847.42,-24927.97,-0.028761
2019-09-12,2019-09-13,2019-08-06,short,2847.42,3017.33,-50231.4,-0.059672
2020-02-24,2020-02-25,2019-09-13,long,3017.33,3118.77,26611.78,0.033619
2020-03-04,2020-03-05,2020-02-25,short,3118.77,3083.04,9373.41,0.011456
2020-03-09,2020-03-10,2020-03-05,long,3083.04,2734.0,-93689.56,-0.113213
2020-04-08,2020-04-09,2020-03-10,short,2734.0,2818.57,-22700.34,-0.030933
2020-09-18,2020-09-21,2020-04-09,long,2818.57,3229.1,103582.05,0.145652
2020-10-12,2020-10-13,2020-09-21,short,3229.1,3534.01,-76932.75,-0.094426
2021-09-20,2021-09-21,2020-10-13,long,3534.01,4347.96,169932.0,0.230319
2021-10-20,2021-10-21,2021-09-21,short,4347.96,4551.44,-42481.43,-0.046799
2021-12-01,2021-12-02,2021-10-21,long,4551.44,4504.73,-8879.91,-0.010263
2021-12-27,2021-12-28,2021-12-02,short,4504.73,4807.02,-57467.52,-0.067105
2022-01-19,2022-01-20,2021-12-28,long,4807.02,4477.95,-54690.58,-0.068456
2022-03-29,2022-03-30,2022-01-20,short,4477.95,4627.77,-24899.7,-0.033457
2022-04-26,2022-04-27,2022-03-30,long,4627.77,4162.9,-72257.73,-0.100452
2022-08-03,2022-08-04,2022-04-27,short,4162.9,4161.29,250.25,0.000387
2022-09-06,2022-09-07,2022-08-04,long,4161.29,3906.03,-39707.4,-0.061342
2022-11-11,2022-11-14,2022-09-07,short,3906.03,4008.97,-16013.01,-0.026354
2023-09-21,2023-09-22,2022-11-14,long,4008.97,4316.49,45380.14,0.076708
2023-11-08,2023-11-09,2023-09-22,short,4316.49,4393.4,-11349.46,-0.017818
2024-04-17,2024-04-18,2023-11-09,long,4393.4,5001.89,86649.89,0.138501
2024-05-14,2024-05-15,2024-04-18,short,5001.89,5311.76,-44125.96,-0.061951
2024-07-25,2024-07-26,2024-05-15,long,5311.76,5430.7,14961.11,0.022392
2024-08-15,2024-08-16,2024-07-26,short,5430.7,5561.98,-16513.33,-0.024174
2025-03-04,2025-03-05,2024-08-16,long,5561.98,5742.35,21617.19,0.032429
2025-04-29,2025-04-30,2025-03-05,short,5742.35,5581.84,19236.99,0.027952
2025-11-20,2025-11-21,2025-04-30,long,5581.84,6521.92,119147.47,0.168418
2026-01-12,2026-01-13,2025-11-21,short,6521.92,6985.83,-58796.81,-0.071131
2026-03-13,2026-03-16,2026-01-13,long,6985.83,6674.37,-34232.16,-0.044585
2026-04-09,2026-04-10,2026-03-16,short,6674.37,6845.77,-18838.35,-0.02568
,2026-07-31,2026-04-10,long,6845.77,7489.7248,67232.12,0.094066
