signal_date,exec_date,entry_date,direction,entry_price,exit_price,pnl,pnl_pct
2016-12-14,2016-12-15,2016-03-11,long,3026.4368,3327.1429,99359.78,0.09936
2017-02-20,2017-02-21,2016-12-15,short,3327.1429,3490.0855,-53839.75,-0.048974
2017-05-08,2017-05-09,2017-02-21,long,3490.0855,3327.5901,-48678.52,-0.046559
2017-05-31,2017-06-01,2017-05-09,short,3327.5901,3499.8142,-51592.93,-0.051756
2017-11-30,2017-12-01,2017-06-01,long,3499.8142,3984.3776,130873.48,0.138454
2018-01-10,2018-01-11,2017-12-01,short,3984.3776,4211.799,-61423.19,-0.057078
2018-02-06,2018-02-07,2018-01-11,long,4211.799,4048.4228,-39360.29,-0.03879
2019-02-11,2019-02-12,2018-02-07,short,4048.4228,3335.3606,171789.63,0.176133
2019-05-06,2019-05-07,2019-02-12,long,3335.3606,3671.8341,115723.09,0.100881
2019-07-01,2019-07-02,2019-05-07,short,3671.8341,3942.4257,-93064.38,-0.073694
2020-02-03,2020-02-04,2019-07-02,long,3942.4257,3652.0035,-86173.37,-0.073666
2020-02-12,2020-02-13,2020-02-04,short,3652.0035,3999.5495,-103123.0,-0.095166
2020-03-16,2020-03-17,2020-02-13,long,3999.5495,3618.307,-93461.69,-0.095321
2020-05-08,2020-05-11,2020-03-17,short,3618.307,3998.0972,-93105.66,-0.104964
2021-02-26,2021-03-01,2020-05-11,long,3998.0972,5345.9449,267649.21,0.337122
2022-06-10,2022-06-13,2021-03-01,short,5345.9449,4218.2327,223935.75,0.210947
2022-08-03,2022-08-04,2022-06-13,long,4218.2327,4064.6594,-46801.53,-0.036407
2022-11-15,2022-11-16,2022-08-04,short,4064.6594,3877.6781,56982.63,0.046002
2023-03-16,2023-03-17,2022-11-16,long,3877.6781,3945.2501,22578.54,0.017426
2024-02-21,2024-02-22,2023-03-17,short,3945.2501,3486.6826,153225.97,0.116233
2024-06-25,2024-06-26,2024-02-22,long,3486.6826,3442.2982,-18731.66,-0.01273
2024-09-24,2024-09-25,2024-06-26,short,3442.2982,3465.4882,-9786.94,-0.006737
2024-10-09,2024-10-10,2024-09-25,long,3465.4882,3912.7708,186241.49,0.129068
2025-05-13,2025-05-14,2024-10-10,short,3912.7708,3960.5228,-19883.19,-0.012204
2026-03-23,2026-03-24,2025-05-14,long,3960.5228,4394.2943,176260.31,0.109524
2026-04-20,2026-04-21,2026-03-24,short,4394.2943,4776.8258,-155439.26,-0.087052
2026-07-17,2026-07-20,2026-04-21,long,4776.8258,4521.1808,-87242.21,-0.053518
,2026-07-31,2026-07-20,short,4521.1808,4588.1968,-22870.09,-0.014823
