signal_date,exec_date,entry_date,direction,entry_price,exit_price,pnl,pnl_pct
2016-06-07,2016-06-08,2016-06-06,long,3197.2204,3148.3517,-15284.75,-0.015285
2017-02-09,2017-02-10,2016-12-13,short,3370.5956,3422.3256,-15112.85,-0.015347
2017-05-25,2017-05-26,2017-05-03,short,3403.0782,3498.3148,-27134.74,-0.027985
2017-08-11,2017-08-14,2017-05-26,long,3498.3148,3651.3754,41235.47,0.043753
2017-08-18,2017-08-21,2017-08-14,short,3651.3754,3744.2631,-25024.52,-0.025439
2018-03-15,2018-03-16,2018-02-07,short,4048.4228,4110.0451,-14592.34,-0.015221
2018-08-02,2018-08-03,2018-07-25,long,3589.9841,3315.2008,-72261.92,-0.076542
2018-09-21,2018-09-25,2018-08-03,short,3315.2008,3394.3771,-20821.61,-0.023883
2018-10-11,2018-10-12,2018-09-25,long,3394.3771,3094.9657,-75065.3,-0.088208
2018-10-29,2018-10-30,2018-10-12,short,3094.9657,3146.6276,-12952.13,-0.016692
2019-06-14,2019-06-17,2019-05-07,short,3671.8341,3683.7743,-2481.1,-0.003252
2020-02-25,2020-02-26,2020-02-03,short,3639.9089,4132.7817,-102978.36,-0.135408
2021-04-26,2021-04-27,2021-02-25,short,5444.1646,5095.9842,42051.93,0.063955
2021-09-09,2021-09-10,2021-08-23,short,4764.0089,5042.7994,-40939.39,-0.05852
2022-07-15,2022-07-18,2022-06-07,long,4198.0863,4217.5064,3046.82,0.004626
2022-11-04,2022-11-07,2022-07-18,short,4217.5064,3792.7942,66633.16,0.100702
2022-11-25,2022-11-28,2022-11-07,long,3792.7942,3672.1306,-23170.65,-0.031814
2023-06-26,2023-06-27,2023-06-19,long,3957.0327,3806.3242,-26856.43,-0.038086
2023-07-05,2023-07-06,2023-06-27,short,3806.3242,3876.8901,-12574.92,-0.018539
2023-09-07,2023-09-08,2023-08-14,short,3814.0711,3753.263,10613.58,0.015943
2023-11-14,2023-11-15,2023-11-07,long,3628.4615,3596.9158,-5879.99,-0.008694
2024-03-26,2024-03-27,2023-11-30,short,3481.4515,3542.9624,-11845.63,-0.017668
2024-09-24,2024-09-25,2024-07-26,short,3388.6601,3465.4882,-14931.95,-0.022672
2024-12-23,2024-12-24,2024-09-25,long,3465.4882,3934.7338,87156.68,0.135405
2026-02-04,2026-02-05,2026-02-03,short,4578.2087,4687.0213,-17369.98,-0.023768
2026-06-08,2026-06-09,2026-04-14,long,4701.2837,4715.3907,2140.86,0.003001
2026-06-22,2026-06-23,2026-06-09,short,4715.3907,5064.2654,-52944.65,-0.073986
2026-07-03,2026-07-06,2026-06-23,long,5064.2654,4789.7956,-35914.16,-0.054197
