signal_date,exec_date,entry_date,direction,entry_price,exit_price,pnl,pnl_pct
2016-02-29,2016-03-01,2016-01-19,long,3227.908,2863.3228,-113553.75,-0.11348
2016-05-09,2016-05-10,2016-03-18,long,3197.6683,3055.1831,-40067.44,-0.045132
2016-06-13,2016-06-14,2016-06-01,long,3181.7926,3055.6553,-34126.82,-0.04022
2016-09-13,2016-09-14,2016-07-05,long,3216.7029,3231.3355,3216.66,0.003946
2016-12-12,2016-12-13,2016-10-24,long,3382.8259,3370.5956,-3452.0,-0.004213
2017-05-02,2017-05-03,2017-02-03,long,3392.4773,3403.0782,2062.41,0.002523
2017-08-11,2017-08-14,2017-05-26,long,3498.3148,3651.3754,35377.45,0.043127
2017-11-30,2017-12-01,2017-08-28,long,3866.9422,3984.3776,25472.78,0.029751
2018-02-06,2018-02-07,2018-01-10,long,4211.0549,4048.4228,-34614.16,-0.039197
2018-10-11,2018-10-12,2018-09-25,long,3394.3771,3094.9657,-75989.57,-0.088755
2018-12-20,2018-12-21,2018-11-20,long,3278.7845,3007.6096,-65058.73,-0.083256
2019-05-06,2019-05-07,2019-01-21,long,3199.2134,3671.8341,105454.48,0.147042
2019-08-02,2019-08-05,2019-06-21,long,3856.0856,3675.6884,-39028.71,-0.047354
2019-09-30,2019-10-08,2019-08-23,long,3829.3607,3818.5894,-2680.42,-0.003411
2019-11-22,2019-11-25,2019-10-15,long,3953.1645,3839.4201,-22995.95,-0.029356
2020-01-23,2020-02-03,2019-12-16,long,3987.5866,3639.9089,-66771.4,-0.087738
2020-02-28,2020-03-02,2020-02-21,long,4184.4379,3968.8435,-36195.45,-0.052092
2020-09-24,2020-09-25,2020-05-06,long,3937.6909,4554.7199,103012.45,0.156004
2021-02-24,2021-02-25,2020-10-13,long,4845.9191,5444.1646,93754.58,0.122779
2021-06-16,2021-06-17,2021-05-26,long,5344.2837,5073.8211,-44033.04,-0.051177
2021-12-20,2021-12-21,2021-12-09,long,5114.5012,4872.9491,-39295.73,-0.0478
2022-07-21,2022-07-22,2022-06-07,long,4198.0863,4207.3135,1257.89,0.001597
2023-02-17,2023-02-20,2022-11-07,long,3792.7942,4035.4762,50190.98,0.063347
2023-04-21,2023-04-24,2023-04-10,long,4132.2952,3967.907,-34069.97,-0.040357
2023-07-24,2023-07-25,2023-06-19,long,3957.0327,3866.6445,-19021.93,-0.023429
2023-08-14,2023-08-15,2023-07-31,long,4064.3621,3811.6839,-49751.06,-0.062732
2023-11-29,2023-11-30,2023-11-07,long,3628.4615,3481.4515,-30641.84,-0.041091
2024-06-07,2024-06-11,2024-02-19,long,3403.8078,3525.8945,25277.67,0.035246
2024-07-25,2024-07-26,2024-07-19,long,3545.3383,3388.6601,-33291.68,-0.044766
2025-01-02,2025-01-03,2024-09-25,long,3465.4882,3767.6653,61628.88,0.086544
2025-04-03,2025-04-07,2025-02-10,long,3906.3678,3514.1165,-78203.72,-0.100953
2025-11-21,2025-11-24,2025-05-13,long,3915.5924,4421.8123,89689.34,0.128606
2026-03-04,2026-03-05,2025-12-29,long,4672.0352,4630.3024,-7509.68,-0.009527
2026-06-08,2026-06-09,2026-04-15,long,4731.2729,4715.3907,-3092.75,-0.003955
2026-07-13,2026-07-14,2026-06-23,long,5064.2654,4649.0444,-64328.86,-0.082541
