signal_date,exec_date,entry_date,direction,entry_price,exit_price,pnl,pnl_pct
2016-05-09,2016-05-10,2016-01-19,long,3227.908,3055.1831,-54112.82,-0.054078
2016-06-13,2016-06-14,2016-06-06,long,3197.2204,3055.6553,-42500.73,-0.044851
2016-09-14,2016-09-19,2016-07-05,long,3216.7029,3242.7429,6785.64,0.00749
2016-12-12,2016-12-13,2016-10-24,long,3382.8259,3370.5956,-3849.84,-0.004213
2017-05-02,2017-05-03,2017-02-03,long,3392.4773,3403.0782,2300.1,0.002523
2017-08-11,2017-08-14,2017-05-26,long,3498.3148,3651.3754,39454.61,0.043127
2017-11-27,2017-11-28,2017-08-29,long,3847.9303,4010.2955,39696.77,0.04157
2018-02-06,2018-02-07,2018-01-09,long,4191.2843,4048.4228,-34537.79,-0.034665
2018-08-02,2018-08-03,2018-07-25,long,3589.9841,3315.2008,-74633.84,-0.077096
2018-10-11,2018-10-12,2018-09-25,long,3394.3771,3094.9657,-79465.65,-0.088755
2018-12-20,2018-12-21,2018-11-20,long,3278.7845,3007.6096,-68034.78,-0.083256
2019-05-06,2019-05-07,2019-01-16,long,3135.0117,3671.8341,127872.91,0.170532
2019-08-02,2019-08-05,2019-06-21,long,3856.0856,3675.6884,-41642.49,-0.047354
2019-09-30,2019-10-08,2019-08-20,long,3799.8977,3818.5894,3618.15,0.004316
2019-11-22,2019-11-25,2019-11-05,long,4030.6381,3839.4201,-40469.65,-0.048013
2020-01-23,2020-02-03,2019-12-16,long,3987.5866,3639.9089,-70465.47,-0.087738
2020-02-28,2020-03-02,2020-02-13,long,3999.5495,3968.8435,-6064.03,-0.008273
2020-07-16,2020-07-17,2020-05-06,long,3937.6909,4485.8214,100952.27,0.138518
2021-02-24,2021-02-25,2020-10-13,long,4845.9191,5444.1646,102214.78,0.122779
2021-06-16,2021-06-17,2021-05-19,long,5193.5574,5073.8211,-22169.54,-0.023641
2021-12-20,2021-12-21,2021-08-11,long,5059.7887,4872.9491,-34417.78,-0.037504
2022-07-15,2022-07-18,2022-06-07,long,4198.0863,4217.5064,3576.45,0.004023
2023-02-08,2023-02-09,2022-11-07,long,3792.7942,4064.7489,63700.38,0.07106
2023-04-21,2023-04-24,2023-04-10,long,4132.2952,3967.907,-38842.32,-0.040357
2023-06-26,2023-06-27,2023-06-19,long,3957.0327,3806.3242,-35788.22,-0.038663
2023-08-14,2023-08-15,2023-07-31,long,4064.3621,3811.6839,-55901.11,-0.062732
2023-11-29,2023-11-30,2023-11-07,long,3628.4615,3481.4515,-34429.67,-0.041091
2024-06-07,2024-06-11,2024-02-19,long,3403.8078,3525.8945,28402.4,0.035246
2024-07-25,2024-07-26,2024-07-19,long,3545.3383,3388.6601,-37407.08,-0.044766
2024-10-15,2024-10-16,2024-09-25,long,3465.4882,3805.0868,77882.22,0.097336
2025-04-03,2025-04-07,2025-02-10,long,3906.3678,3514.1165,-89037.86,-0.100953
2025-11-21,2025-11-24,2025-05-08,long,3867.3313,4421.8123,113277.53,0.14269
2026-02-02,2026-02-03,2025-12-26,long,4676.131,4578.2087,-19557.06,-0.021528
2026-05-21,2026-05-22,2026-04-14,long,4701.2837,4785.3486,15390.58,0.017271
2026-07-13,2026-07-14,2026-06-23,long,5064.2654,4649.0444,-74919.09,-0.082541
