signal_date,exec_date,entry_date,direction,entry_price,exit_price,pnl,pnl_pct
2016-05-09,2016-05-10,2016-01-25,long,3149.3322,3055.1831,-30503.94,-0.030477
2016-06-13,2016-06-14,2016-06-06,long,3197.2204,3055.6553,-43571.42,-0.044851
2016-12-06,2016-12-07,2016-10-24,long,3382.8259,3445.7561,16780.63,0.017992
2017-11-27,2017-11-28,2017-02-10,long,3422.3256,4010.2955,162848.38,0.171101
2018-02-07,2018-02-08,2018-01-09,long,4191.2843,3974.6779,-58337.49,-0.052249
2018-03-23,2018-03-26,2018-02-27,long,4120.8712,3829.9155,-75339.41,-0.071163
2018-08-03,2018-08-06,2018-07-25,long,3589.9841,3257.6856,-92001.41,-0.093107
2018-10-11,2018-10-12,2018-09-25,long,3394.3771,3094.9657,-79700.14,-0.088755
2019-04-26,2019-04-29,2018-11-05,long,3279.8781,3875.452,148146.36,0.180875
2019-08-05,2019-08-06,2019-06-21,long,3856.0856,3575.8626,-70971.32,-0.073227
2020-01-23,2020-02-03,2019-08-20,long,3799.8977,3639.9089,-38357.39,-0.042678
2020-03-16,2020-03-17,2020-02-12,long,3984.4325,3618.307,-79563.2,-0.092434
2020-07-16,2020-07-17,2020-05-06,long,3937.6909,4485.8214,108414.11,0.138518
2021-02-23,2021-02-24,2020-10-13,long,4845.9191,5379.7278,97888.89,0.10949
2021-07-26,2021-07-27,2021-05-26,long,5344.2837,4749.0327,-111411.64,-0.111914
2021-09-16,2021-09-17,2021-08-11,long,5059.7887,4786.0876,-48357.06,-0.054661
2021-12-17,2021-12-20,2021-12-09,long,5114.5012,4872.6846,-40142.72,-0.047852
2022-09-16,2022-09-19,2022-06-07,long,4198.0863,3910.3106,-55556.56,-0.069108
2023-03-10,2023-03-13,2022-11-07,long,3792.7942,3962.6426,33102.18,0.044155
2023-04-21,2023-04-24,2023-04-10,long,4132.2952,3967.907,-31626.5,-0.040357
2023-06-26,2023-06-27,2023-06-19,long,3957.0327,3806.3242,-29139.77,-0.038663
2023-08-16,2023-08-17,2023-07-31,long,4064.3621,3782.4967,-50723.61,-0.069909
2023-12-05,2023-12-06,2023-11-07,long,3628.4615,3382.9457,-46181.76,-0.068223
2024-07-24,2024-07-25,2024-02-19,long,3403.8078,3383.7991,-4094.97,-0.006475
2024-10-09,2024-10-10,2024-09-25,long,3465.4882,3912.7708,80875.98,0.12839
2025-04-07,2025-04-08,2025-02-10,long,3906.3678,3583.8746,-59351.6,-0.083106
2025-08-01,2025-08-04,2025-05-07,long,3863.6776,4037.9378,29153.99,0.044475
2026-03-23,2026-03-24,2025-12-26,long,4676.131,4394.2943,-41893.54,-0.060835
2026-06-08,2026-06-09,2026-04-14,long,4701.2837,4715.3907,1552.8,0.002399
,2026-07-31,2026-06-23,long,5064.2654,4588.1968,-61379.35,-0.094549
