signal_date,exec_date,entry_date,direction,entry_price,exit_price,pnl,pnl_pct
2016-04-21,2016-04-22,2016-03-11,long,3026.4368,3137.9927,36332.78,0.036238
2016-12-05,2016-12-06,2016-10-25,long,3373.9139,3456.8067,25066.79,0.023954
2017-03-02,2017-03-03,2017-02-10,long,3422.3256,3412.8312,-3622.67,-0.003372
2017-06-15,2017-06-16,2017-05-26,long,3498.3148,3514.3892,4288.33,0.003992
2017-11-23,2017-11-24,2017-08-28,long,3866.9422,4057.4894,52621.46,0.048646
2018-01-29,2018-01-30,2018-01-05,long,4151.2818,4251.5706,26752.67,0.023544
2018-02-23,2018-02-26,2018-02-23,long,4085.2008,4048.9834,-11010.85,-0.00946
2018-08-01,2018-08-02,2018-07-25,long,3589.9841,3322.096,-87195.49,-0.075176
2018-10-08,2018-10-09,2018-09-25,long,3394.3771,3276.1322,-38071.86,-0.035415
2018-10-23,2018-10-24,2018-10-23,long,3276.0205,3164.293,-35987.37,-0.034684
2019-03-08,2019-03-11,2019-01-21,long,3199.2134,3650.8125,141205.95,0.140475
2019-07-08,2019-07-09,2019-06-21,long,3856.0856,3774.7641,-24951.56,-0.021676
2019-08-26,2019-08-27,2019-08-26,long,3778.8665,3790.873,2906.17,0.002575
2019-12-23,2019-12-24,2019-12-16,long,3987.5866,3963.6653,-7493.54,-0.006595
2020-02-07,2020-02-10,2020-02-07,long,3899.8837,3861.0066,-11940.56,-0.010563
2020-03-09,2020-03-10,2020-03-06,long,4181.3102,3954.7506,-61308.29,-0.054751
2020-04-08,2020-04-09,2020-04-08,long,3793.0023,3785.3116,-2783.09,-0.002626
2020-09-07,2020-09-08,2020-08-04,long,4807.0782,4639.0531,-37728.61,-0.035533
2020-10-26,2020-10-27,2020-10-13,long,4845.9191,4671.8536,-37419.0,-0.036498
2021-02-22,2021-02-23,2021-02-10,long,5823.4219,5541.1092,-48666.65,-0.04905
2021-06-15,2021-06-16,2021-05-26,long,5344.2837,5076.0222,-48074.53,-0.050766
2021-08-05,2021-08-06,2021-08-05,long,4997.1397,4891.7968,-19519.03,-0.021668
2021-12-15,2021-12-16,2021-12-10,long,5060.0554,4987.2247,-13270.91,-0.014985
2022-07-11,2022-07-12,2022-05-23,long,4080.9694,4296.6215,45820.52,0.052212
2022-11-09,2022-11-10,2022-11-07,long,3792.7942,3665.0585,-31780.54,-0.034258
2023-04-21,2023-04-24,2023-04-10,long,4132.2952,3967.907,-36370.24,-0.040357
2023-06-21,2023-06-26,2023-06-19,long,3957.0327,3801.0537,-34664.25,-0.039994
2023-08-09,2023-08-10,2023-07-31,long,4064.3621,3945.3869,-24878.06,-0.029855
2023-11-07,2023-11-08,2023-11-07,long,3628.4615,3591.8248,-8671.82,-0.010691
2024-03-27,2024-03-28,2024-02-08,long,3367.2101,3489.3861,28728.08,0.035662
2024-07-23,2024-07-24,2024-07-22,long,3540.1874,3408.4129,-31677.94,-0.0378
2024-10-08,2024-10-09,2024-09-25,long,3465.4882,3942.5118,110726.13,0.136967
2024-11-15,2024-11-18,2024-11-08,long,4200.908,3931.1872,-59607.09,-0.064767
2025-02-28,2025-03-03,2025-02-13,long,3939.1978,3872.5872,-15112.18,-0.017499
2025-04-22,2025-04-23,2025-04-22,long,3799.2295,3780.5183,-4694.9,-0.005522
2025-10-14,2025-10-15,2025-09-18,long,4573.8331,4526.834,-9245.94,-0.010869
2025-11-04,2025-11-05,2025-10-30,long,4761.8339,4558.7647,-36388.27,-0.043219
2026-01-20,2026-01-21,2025-12-26,long,4676.131,4714.2366,6090.52,0.007544
2026-05-15,2026-05-18,2026-04-13,long,4653.3983,4806.1455,26275.02,0.032205
2026-06-26,2026-06-29,2026-06-22,long,5061.5105,4827.149,-39530.98,-0.046875
