signal_date,exec_date,entry_date,direction,entry_price,exit_price,pnl,pnl_pct
2016-05-09,2016-05-10,2016-03-11,long,3026.4368,3055.1831,8915.94,0.008893
2017-05-04,2017-05-05,2017-02-21,long,3490.0855,3366.5568,-36797.99,-0.035973
2017-11-27,2017-11-28,2017-06-02,long,3498.1189,4010.2955,143860.21,0.145727
2018-02-06,2018-02-07,2018-01-15,long,4262.9314,4048.4228,-57670.55,-0.050889
2019-05-06,2019-05-07,2019-02-12,long,3335.3606,3671.8341,109341.37,0.10022
2019-09-30,2019-10-08,2019-09-06,long,3948.5397,3818.5894,-40408.33,-0.033491
2020-03-16,2020-03-17,2020-02-13,long,3999.5495,3618.307,-112352.75,-0.095864
2020-09-10,2020-09-11,2020-05-14,long,3952.1986,4563.1061,163426.62,0.153881
2022-07-15,2022-07-18,2022-06-16,long,4302.9212,4217.5064,-25680.22,-0.020438
2023-02-08,2023-02-09,2022-11-16,long,3877.6781,4064.7489,58884.03,0.047614
2024-06-11,2024-06-12,2024-02-22,long,3486.6826,3531.5657,16127.76,0.012265
2024-10-09,2024-10-10,2024-09-25,long,3465.4882,3912.7708,171633.9,0.12839
2025-06-19,2025-06-20,2025-05-15,long,3936.4653,3839.7833,-38255.17,-0.025146
2026-06-08,2026-06-09,2026-04-22,long,4801.4465,4715.3907,-27786.11,-0.018512
