signal_date,exec_date,entry_date,direction,entry_price,exit_price,pnl,pnl_pct
2016-05-19,2016-05-20,2016-03-11,long,3026.4368,3041.5169,4391.29,0.00438
2017-05-05,2017-05-08,2017-02-21,long,3490.0855,3339.5743,-44480.78,-0.043699
2017-11-27,2017-11-28,2017-06-02,long,3498.1189,4010.2955,141993.32,0.145727
2018-02-06,2018-02-07,2018-01-11,long,4211.799,4048.4228,-44028.5,-0.039367
2019-05-06,2019-05-07,2019-02-12,long,3335.3606,3671.8341,109219.74,0.10022
2019-08-05,2019-08-06,2019-07-02,long,3942.4257,3575.8626,-112394.56,-0.093523
2020-03-13,2020-03-16,2020-02-13,long,3999.5495,3720.5127,-77174.66,-0.070325
2020-07-16,2020-07-17,2020-05-11,long,3998.0972,4485.8214,124032.97,0.121316
2022-07-25,2022-07-26,2022-06-16,long,4302.9212,4214.5343,-24894.33,-0.021129
2023-02-17,2023-02-20,2022-11-16,long,3877.6781,4035.4762,46418.67,0.04007
2024-06-13,2024-06-14,2024-02-22,long,3486.6826,3503.5233,5167.17,0.004227
2024-10-09,2024-10-10,2024-09-25,long,3465.4882,3912.7708,158265.62,0.12839
2025-11-21,2025-11-24,2025-05-15,long,3936.4653,4421.8123,172018.11,0.122621
2026-06-08,2026-06-09,2026-04-21,long,4776.8258,4715.3907,-21308.77,-0.013453
