signal_date,exec_date,direction,entry_price,exit_price,pnl,pnl_pct
2016-05-09,2016-05-10,long,3227.908,3055.1831,-53509.86,-0.05351
2016-06-03,2016-06-06,short,3055.1831,3197.2204,-44002.9,-0.046491
2016-06-13,2016-06-14,long,3197.2204,3055.6553,-39959.93,-0.044278
2016-07-04,2016-07-05,short,3055.6553,3216.7029,-45459.3,-0.052705
2016-09-14,2016-09-19,long,3216.7029,3242.7429,6614.37,0.008095
2016-10-21,2016-10-24,short,3242.7429,3382.8259,-35582.19,-0.043199
2016-12-12,2016-12-13,long,3382.8259,3370.5956,-2849.3,-0.003615
2017-01-26,2017-02-03,short,3370.5956,3392.4773,-5097.8,-0.006492
2017-05-02,2017-05-03,long,3392.4773,3403.0782,2437.84,0.003125
2017-05-25,2017-05-26,short,3403.0782,3498.3148,-21901.14,-0.027985
2017-08-11,2017-08-14,long,3498.3148,3651.3754,33282.21,0.043753
2017-08-28,2017-08-29,short,3651.3754,3847.9303,-42739.81,-0.05383
2017-11-27,2017-11-28,long,3847.9303,4010.2955,31698.59,0.042195
2018-01-08,2018-01-09,short,4010.2955,4191.2843,-35334.48,-0.045131
2018-02-06,2018-02-07,long,4191.2843,4048.4228,-25482.1,-0.034085
2018-07-24,2018-07-25,short,4048.4228,3589.9841,81771.37,0.113239
2018-08-02,2018-08-03,long,3589.9841,3315.2008,-61530.73,-0.076542
2018-09-21,2018-09-25,short,3315.2008,3394.3771,-17729.52,-0.023883
2018-10-11,2018-10-12,long,3394.3771,3094.9657,-63917.79,-0.088208
2018-11-19,2018-11-20,short,3094.9657,3278.7845,-39241.3,-0.059393
2018-12-20,2018-12-21,long,3278.7845,3007.6096,-51398.94,-0.082706
2019-01-15,2019-01-16,short,3007.6096,3135.0117,-24148.0,-0.04236
2019-05-06,2019-05-07,long,3135.0117,3671.8341,93480.26,0.171235
2019-06-20,2019-06-21,short,3671.8341,3856.0856,-32084.87,-0.05018
2019-08-02,2019-08-05,long,3856.0856,3675.6884,-28411.68,-0.046782
2019-08-19,2019-08-20,short,3675.6884,3799.8977,-19562.36,-0.033792
2019-09-30,2019-10-08,long,3799.8977,3818.5894,2751.4,0.004919
2019-11-04,2019-11-05,short,3818.5894,4030.6381,-31213.33,-0.055531
2019-11-22,2019-11-25,long,4030.6381,3839.4201,-25185.48,-0.047441
2019-12-13,2019-12-16,short,3839.4201,3987.5866,-19515.13,-0.038591
2020-01-23,2020-02-03,long,3987.5866,3639.9089,-42389.87,-0.08719
2020-02-12,2020-02-13,short,3639.9089,3999.5495,-43848.42,-0.098805
2020-02-28,2020-03-02,long,3999.5495,3968.8435,-3070.48,-0.007677
2020-04-30,2020-05-06,short,3968.8435,3937.6909,3115.14,0.007849
2020-07-16,2020-07-17,long,3937.6909,4485.8214,55678.24,0.139201
2020-10-12,2020-10-13,short,4485.8214,4845.9191,-36578.16,-0.080275
2021-02-24,2021-02-25,long,4845.9191,5444.1646,51737.44,0.123453
2021-05-18,2021-05-19,short,5444.1646,5193.5574,21673.0,0.046032
2021-06-16,2021-06-17,long,5193.5574,5073.8211,-11354.36,-0.023055
2021-08-10,2021-08-11,short,5073.8211,5059.7887,1330.67,0.002766
2021-12-20,2021-12-21,long,5059.7887,4872.9491,-17815.91,-0.036926
2022-06-06,2022-06-07,short,4872.9491,4198.0863,64350.89,0.138492
2022-07-15,2022-07-18,long,4198.0863,4217.5064,2447.15,0.004626
2022-11-04,2022-11-07,short,4217.5064,3792.7942,53518.53,0.100702
2023-02-08,2023-02-09,long,3792.7942,4064.7489,41944.24,0.071703
2023-04-07,2023-04-10,short,4064.7489,4132.2952,-10417.83,-0.016618
2023-04-21,2023-04-24,long,4132.2952,3967.907,-24525.12,-0.039781
2023-06-16,2023-06-19,short,3967.907,3957.0327,1622.34,0.002741
2023-06-26,2023-06-27,long,3957.0327,3806.3242,-22607.82,-0.038086
2023-07-28,2023-07-31,short,3806.3242,4064.3621,-38708.34,-0.067792
2023-08-14,2023-08-15,long,4064.3621,3811.6839,-33091.39,-0.062169
2023-11-06,2023-11-07,short,3811.6839,3628.4615,23995.28,0.048069
2023-11-29,2023-11-30,long,3628.4615,3481.4515,-21197.19,-0.040516
2024-02-08,2024-02-19,short,3481.4515,3403.8078,11195.35,0.022302
2024-06-07,2024-06-11,long,3403.8078,3525.8945,18406.63,0.035868
2024-07-18,2024-07-19,short,3525.8945,3545.3383,-2931.48,-0.005515
2024-07-25,2024-07-26,long,3545.3383,3388.6601,-23362.78,-0.044193
2024-09-24,2024-09-25,short,3388.6601,3465.4882,-11456.08,-0.022672
2024-10-15,2024-10-16,long,3465.4882,3805.0868,48393.36,0.097994
2025-02-07,2025-02-10,short,3805.0868,3906.3678,-14432.71,-0.026617
2025-04-03,2025-04-07,long,3906.3678,3514.1165,-52997.98,-0.100413
2025-05-07,2025-05-08,short,3514.1165,3867.3313,-47723.67,-0.100513
2025-11-21,2025-11-24,long,3867.3313,4421.8123,61232.39,0.143376
2025-12-25,2025-12-26,short,4421.8123,4676.131,-28084.9,-0.057515
2026-02-02,2026-02-03,long,4676.131,4578.2087,-9637.5,-0.020941
2026-04-13,2026-04-14,short,4578.2087,4701.2837,-12113.03,-0.026883
2026-05-21,2026-05-22,long,4701.2837,4785.3486,7840.46,0.017881
2026-06-22,2026-06-23,short,4785.3486,5064.2654,-26013.68,-0.058286
2026-07-13,2026-07-14,long,5064.2654,4649.0444,-34460.59,-0.08199
,2026-07-30,short,4649.0444,4549.7201,8243.26,0.021364
