signal_date,exec_date,entry_date,direction,entry_price,exit_price,pnl,pnl_pct
2016-05-30,2016-05-31,2016-02-18,long,255.75,256.5,2932.55,0.002933
2016-06-13,2016-06-14,2016-05-31,short,256.5,275.25,-73313.78,-0.073099
2016-10-10,2016-10-11,2016-06-14,long,275.25,273.05,-7430.2,-0.007993
2016-11-09,2016-11-10,2016-10-11,short,273.05,289.6,-55895.33,-0.060612
2016-11-14,2016-11-15,2016-11-10,long,289.6,272.8,-50254.58,-0.058011
2017-02-07,2017-02-08,2016-11-15,short,272.8,277.25,-13311.48,-0.016312
2017-05-10,2017-05-11,2017-02-08,long,277.25,276.3,-2750.55,-0.003427
2017-06-07,2017-06-08,2017-05-11,short,276.3,286.9,-30690.38,-0.038364
2017-06-30,2017-07-03,2017-06-08,long,286.9,274.35,-33651.25,-0.043743
2017-08-11,2017-08-14,2017-07-03,short,274.35,280.3,-15954.18,-0.021688
2017-10-27,2017-10-30,2017-08-14,long,280.3,273.65,-17074.13,-0.023725
2017-11-20,2017-11-21,2017-10-30,short,273.65,282.0,-21438.94,-0.030513
2017-12-08,2017-12-11,2017-11-21,long,282.0,271.5,-25362.63,-0.037234
2018-01-03,2018-01-04,2017-12-11,short,271.5,280.5,-21739.4,-0.033149
2018-02-05,2018-02-06,2018-01-04,long,280.5,273.8,-15145.24,-0.023886
2018-10-12,2018-10-15,2018-02-06,short,273.8,275.35,-3503.75,-0.005661
2019-01-25,2019-01-28,2018-10-15,long,275.35,282.75,16539.26,0.026875
2019-02-18,2019-02-19,2019-01-28,short,282.75,292.1,-20897.57,-0.033068
2019-03-04,2019-03-05,2019-02-19,long,292.1,280.1,-25103.39,-0.041082
2019-05-08,2019-05-09,2019-03-05,short,280.1,287.95,-16421.8,-0.028026
2019-11-06,2019-11-07,2019-05-09,long,287.95,336.05,95136.48,0.167043
2019-12-31,2020-01-02,2019-11-07,short,336.05,346.58,-20827.17,-0.031335
2020-03-02,2020-03-03,2020-01-02,long,346.58,358.5,22143.81,0.034393
2020-03-25,2020-03-26,2020-03-03,short,358.5,364.94,-11963.6,-0.017964
2020-08-12,2020-08-13,2020-03-26,long,364.94,415.02,89750.26,0.137228
2020-12-21,2020-12-22,2020-08-13,short,415.02,395.58,34839.16,0.046841
2021-02-05,2021-02-08,2020-12-22,long,395.58,376.46,-37633.51,-0.048334
2021-05-07,2021-05-10,2021-02-08,short,376.46,384.22,-15273.85,-0.020613
2021-06-17,2021-06-18,2021-05-10,long,384.22,369.5,-27802.75,-0.038311
2021-11-11,2021-11-12,2021-06-18,short,369.5,385.3,-29842.63,-0.04276
2021-12-03,2021-12-06,2021-11-12,long,385.3,364.9,-35370.91,-0.052946
2022-02-15,2022-02-16,2021-12-06,short,364.9,380.2,-26528.18,-0.041929
2022-07-01,2022-07-04,2022-02-16,long,380.2,386.7,10363.08,0.017096
2022-08-05,2022-08-08,2022-07-04,short,386.7,389.52,-4495.98,-0.007292
2022-12-07,2022-12-08,2022-08-08,long,389.52,401.22,18383.45,0.030037
2023-01-17,2023-01-18,2022-12-08,short,401.22,420.94,-30984.75,-0.04915
2023-09-28,2023-10-09,2023-01-18,long,420.94,451.74,43859.75,0.07317
2023-10-18,2023-10-19,2023-10-09,short,451.74,472.18,-29106.93,-0.045247
2024-04-23,2024-04-24,2023-10-19,long,472.18,546.02,96045.94,0.156381
2024-05-20,2024-05-21,2024-04-24,short,546.02,581.22,-45785.71,-0.064467
2024-11-12,2024-11-13,2024-05-21,long,581.22,602.54,24372.6,0.036681
2024-11-22,2024-11-25,2024-11-13,short,602.54,631.14,-32694.95,-0.047466
2025-05-12,2025-05-13,2024-11-25,long,631.14,756.02,129822.01,0.197864
2025-09-03,2025-09-04,2025-05-13,short,756.02,823.24,-69880.17,-0.088913
2025-10-28,2025-10-29,2025-09-04,long,823.24,893.64,61234.3,0.085516
2025-12-15,2025-12-16,2025-10-29,short,893.64,983.8,-78421.66,-0.100891
2026-02-02,2026-02-03,2025-12-16,long,983.8,1033.5,35305.86,0.050518
,2026-07-31,2026-02-03,short,1033.5,888.3,103147.09,0.140493
