ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg
AU.SHF,20160104,226.05,226.3,226.7,228.5,226.2,228.2,227.3,1.9,1.0,115918.0,2635229.81,271686.0,
AU.SHF,20160105,228.2,227.3,229.05,230.85,228.45,230.3,229.7,3.0,2.4,262396.0,6027416.78,285116.0,
AU.SHF,20160106,230.3,229.7,230.5,231.75,229.05,231.4,230.25,1.7,0.55,269668.0,6210049.35,298044.0,
AU.SHF,20160107,231.4,230.25,233.05,237.4,231.65,236.6,234.35,6.35,4.1,475962.0,11154572.01,315870.0,
AU.SHF,20160108,236.6,234.35,236.7,238.15,235.95,236.8,237.05,2.45,2.7,378540.0,8974274.81,306860.0,
AU.SHF,20160111,236.8,237.05,236.8,238.3,235.0,237.45,236.7,0.4,-0.35,353852.0,8377384.64,312682.0,
AU.SHF,20160112,237.45,236.7,236.6,236.95,233.95,234.6,235.25,-2.1,-1.45,295580.0,6953639.63,287788.0,
AU.SHF,20160113,234.6,235.25,232.85,233.25,232.05,232.25,232.55,-3.0,-2.7,237332.0,5519804.51,279594.0,
AU.SHF,20160114,232.25,232.55,232.0,234.8,231.35,234.05,233.15,1.5,0.6,316336.0,7376052.87,279494.0,
AU.SHF,20160115,234.05,233.15,233.05,233.8,231.2,232.6,232.65,-0.55,-0.5,263662.0,6134744.55,275630.0,
AU.SHF,20160118,232.6,232.65,232.8,234.75,232.75,233.5,233.8,0.85,1.15,334226.0,7814746.33,278082.0,
AU.SHF,20160119,233.5,233.8,233.55,234.0,232.5,233.2,233.25,-0.6,-0.55,148870.0,3473134.5,275074.0,
AU.SHF,20160120,233.2,233.25,232.5,234.1,232.35,233.8,233.2,0.55,-0.05,178390.0,4160689.49,278754.0,
AU.SHF,20160121,233.8,233.2,235.8,237.25,235.0,236.25,235.8,3.05,2.6,299478.0,7062232.89,282528.0,
AU.SHF,20160122,236.25,235.8,235.5,235.85,234.35,235.2,235.1,-0.6,-0.7,239830.0,5638528.29,273946.0,
AU.SHF,20160125,235.2,235.1,235.1,236.15,234.55,235.8,235.35,0.7,0.25,199426.0,4693830.75,270582.0,
AU.SHF,20160126,235.8,235.35,236.25,239.05,236.0,238.9,237.35,3.55,2.0,248890.0,5908372.31,289828.0,
AU.SHF,20160127,238.9,237.35,238.3,240.1,237.8,239.35,239.0,2.0,1.65,238910.0,5710168.36,290040.0,
AU.SHF,20160128,239.35,239.0,239.4,240.1,238.65,238.8,239.25,-0.2,0.25,201368.0,4817997.76,288210.0,
AU.SHF,20160129,238.8,239.25,239.1,239.75,237.8,238.3,238.5,-0.95,-0.75,232398.0,5543845.75,285544.0,
AU.SHF,20160201,238.3,238.5,238.4,240.1,237.5,239.9,238.8,1.4,0.3,199550.0,4766196.62,296222.0,
AU.SHF,20160202,239.9,238.8,240.25,241.35,239.4,240.55,240.6,1.75,1.8,184274.0,4434549.85,303304.0,
AU.SHF,20160203,240.55,240.6,240.55,241.85,240.2,241.45,241.15,0.85,0.55,197552.0,4764851.47,305490.0,
AU.SHF,20160204,241.45,241.15,242.0,244.2,240.8,243.95,242.55,2.8,1.4,268622.0,6516765.11,295142.0,
AU.SHF,20160205,243.95,242.55,244.6,246.25,244.4,245.9,245.6,3.35,3.05,225544.0,5539725.38,280014.0,
AU.SHF,20160215,245.9,245.6,258.5,259.9,255.6,256.15,257.25,10.55,11.65,190718.0,4906580.4,276240.0,
AU.SHF,20160216,256.15,257.25,254.8,255.3,251.5,253.1,253.3,-4.15,-3.95,309996.0,7853607.24,283638.0,
AU.SHF,20160217,253.1,253.3,255.4,255.85,252.15,255.05,254.65,1.75,1.35,397254.0,10117433.42,288710.0,
AU.SHF,20160218,255.05,254.65,255.0,255.75,253.8,254.85,254.9,0.2,0.25,310824.0,7922991.18,289972.0,
AU.SHF,20160219,254.85,254.9,254.5,259.5,254.3,258.0,256.8,3.1,1.9,369542.0,9489909.55,302822.0,
AU.SHF,20160222,258.0,256.8,258.95,259.6,255.9,256.2,258.15,-0.6,1.35,468326.0,12090172.09,303564.0,
AU.SHF,20160223,256.2,258.15,254.35,257.0,254.35,256.3,255.55,-1.85,-2.6,374288.0,9565386.19,300378.0,
AU.SHF,20160224,256.3,255.55,256.95,259.25,256.6,258.45,257.95,2.9,2.4,449322.0,11592486.47,312306.0,
AU.SHF,20160225,258.45,257.95,260.25,264.6,259.4,261.5,262.2,3.55,4.25,797662.0,20916001.47,330980.0,
AU.SHF,20160226,261.5,262.2,261.3,262.5,259.15,261.85,261.2,-0.35,-1.0,608646.0,15898002.76,331884.0,
AU.SHF,20160229,261.85,261.2,261.65,261.7,256.25,259.4,258.9,-1.8,-2.3,756284.0,19581576.04,329216.0,
AU.SHF,20160301,259.4,258.9,260.1,263.65,259.0,263.05,261.2,4.15,2.3,552970.0,14446311.48,351736.0,
AU.SHF,20160302,263.05,261.2,263.0,263.9,259.1,259.85,260.9,-1.35,-0.3,637386.0,16631845.55,329022.0,
AU.SHF,20160303,259.85,260.9,260.5,262.55,259.7,262.05,261.4,1.15,0.5,520756.0,13614881.56,338906.0,
AU.SHF,20160304,262.05,261.4,262.7,265.95,261.6,265.6,264.05,4.2,2.65,627072.0,16559485.94,351182.0,
AU.SHF,20160307,265.6,264.05,265.95,268.7,263.25,265.65,266.25,1.6,2.2,896440.0,23868530.31,335068.0,
AU.SHF,20160308,265.65,266.25,267.25,267.8,265.2,266.7,266.7,0.45,0.45,535820.0,14292728.15,342884.0,
AU.SHF,20160309,266.7,266.7,267.65,267.95,263.0,264.05,265.65,-2.65,-1.05,513264.0,13636404.5,332420.0,
AU.SHF,20160310,264.05,265.65,263.95,264.35,261.1,261.9,262.75,-3.75,-2.9,530230.0,13933538.04,319344.0,
AU.SHF,20160311,261.9,262.75,261.0,268.85,260.15,265.75,265.25,3.0,2.5,868980.0,23051189.94,326228.0,
AU.SHF,20160314,265.75,265.25,265.3,265.9,262.1,262.5,264.0,-2.75,-1.25,544586.0,14378951.37,318588.0,
AU.SHF,20160315,262.5,264.0,263.0,263.75,257.05,257.85,260.05,-6.15,-3.95,586332.0,15250325.63,318154.0,
AU.SHF,20160316,257.85,260.05,259.15,259.55,257.35,259.45,258.25,-0.6,-1.8,402560.0,10397884.2,319314.0,
AU.SHF,20160317,259.45,258.25,258.75,264.35,257.65,263.3,260.6,5.05,2.35,500638.0,13047844.02,316900.0,
AU.SHF,20160318,263.3,260.6,263.8,264.85,262.55,263.35,263.7,2.75,3.1,403442.0,10639219.95,308886.0,
AU.SHF,20160321,263.35,263.7,261.1,262.5,259.15,259.7,261.0,-4.0,-2.7,340072.0,8877286.36,303776.0,
AU.SHF,20160322,259.7,261.0,259.6,261.45,259.25,261.4,260.35,0.4,-0.65,263124.0,6850782.55,305662.0,
AU.SHF,20160323,261.4,260.35,262.4,262.95,258.15,258.35,260.75,-2.0,0.4,331106.0,8634874.4,304448.0,
AU.SHF,20160324,258.35,260.75,256.35,256.85,255.0,255.1,255.85,-5.65,-4.9,380646.0,9739556.35,294312.0,
AU.SHF,20160325,255.1,255.85,256.3,256.75,255.65,256.1,256.15,0.25,0.3,164146.0,4205035.75,293992.0,
AU.SHF,20160328,256.1,256.15,255.95,256.65,254.0,255.05,255.05,-1.1,-1.1,147416.0,3760369.55,297086.0,
AU.SHF,20160329,255.05,255.05,255.75,256.6,255.25,255.75,255.8,0.7,0.75,185942.0,4756957.8,290892.0,
AU.SHF,20160330,255.75,255.8,256.15,259.8,255.85,258.6,257.95,2.8,2.15,378770.0,9771062.68,285732.0,
AU.SHF,20160331,258.6,257.95,258.0,258.1,255.35,256.15,256.6,-1.8,-1.35,269920.0,6926683.14,279210.0,
AU.SHF,20160401,256.15,256.6,257.5,257.8,256.1,257.2,256.85,0.6,0.25,232786.0,5979371.69,272338.0,
AU.SHF,20160405,257.2,256.85,255.05,256.35,254.2,256.05,255.65,-0.8,-1.2,95420.0,2439885.69,270088.0,
AU.SHF,20160406,256.05,255.65,257.5,257.7,256.1,256.75,256.85,1.1,1.2,194794.0,5003601.2,273552.0,
AU.SHF,20160407,256.75,256.85,255.2,257.1,255.0,256.45,256.05,-0.4,-0.8,227246.0,5819479.85,279408.0,
AU.SHF,20160408,256.45,256.05,258.4,259.35,257.65,258.0,258.4,1.95,2.35,257602.0,6657093.09,283298.0,
AU.SHF,20160411,258.0,258.4,257.7,261.15,257.4,260.55,259.3,2.15,0.9,245542.0,6367604.45,287684.0,
AU.SHF,20160412,260.55,259.3,260.95,262.0,260.4,261.8,261.25,2.5,1.95,189268.0,4945138.15,291346.0,
AU.SHF,20160413,261.8,261.25,262.05,262.65,260.0,260.4,261.45,-0.85,0.2,268234.0,7013208.34,282358.0,
AU.SHF,20160414,260.4,261.45,260.5,261.05,257.0,257.8,259.0,-3.65,-2.45,273610.0,7086644.04,278694.0,
AU.SHF,20160415,257.8,259.0,257.6,258.25,256.05,257.2,257.1,-1.8,-1.9,236076.0,6070294.03,265642.0,
AU.SHF,20160418,257.2,257.1,257.15,258.7,256.2,257.35,257.55,0.25,0.45,217164.0,5593115.67,259854.0,
AU.SHF,20160419,257.35,257.55,258.55,260.0,256.55,259.85,257.95,2.3,0.4,239320.0,6173920.64,260238.0,
AU.SHF,20160420,259.85,257.95,261.0,262.5,259.65,260.65,261.15,2.7,3.2,325448.0,8499737.11,258636.0,
AU.SHF,20160421,260.65,261.15,261.0,264.15,260.0,264.0,261.85,2.85,0.7,350660.0,9183069.4,274058.0,
AU.SHF,20160422,264.0,261.85,265.7,266.5,260.0,260.6,262.15,-1.25,0.3,401306.0,10520380.78,242932.0,
AU.SHF,20160425,260.6,262.15,260.7,261.3,256.95,258.65,259.2,-3.5,-2.95,372910.0,9667565.3,221956.0,
AU.SHF,20160426,258.65,259.2,258.75,260.0,258.0,258.1,259.2,-1.1,0.0,172382.0,4468171.86,208928.0,
AU.SHF,20160427,258.1,259.2,258.55,261.45,258.25,261.3,260.3,2.1,1.1,253034.0,6587509.9,193114.0,
AU.SHF,20160428,261.3,260.3,261.9,262.75,259.3,262.25,261.1,1.95,0.8,342874.0,8953471.89,177568.0,
AU.SHF,20160429,262.25,261.1,262.15,267.95,261.75,266.45,265.0,5.35,3.9,347256.0,9202931.79,177698.0,
AU.SHF,20160503,266.45,265.0,269.5,271.65,269.1,271.5,270.25,6.5,5.25,152216.0,4114077.71,161770.0,
AU.SHF,20160504,271.5,272.65,273.65,273.65,270.3,270.65,271.5,-2.0,-1.15,166064.0,4509435.36,217452.0,
