ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg
AU.SHF,20210104,394.98,395.1,398.98,400.8,398.9,400.04,400.1,4.94,5.0,57526.0,2301666.206,39504.0,
AU.SHF,20210105,400.04,400.1,401.88,404.6,401.0,402.32,402.92,2.22,2.82,120443.0,4852981.0,39174.0,
AU.SHF,20210106,402.32,402.92,404.0,404.96,401.66,402.88,403.5,-0.04,0.58,111744.0,4509055.0,37436.0,
AU.SHF,20210107,402.88,403.5,400.2,402.6,394.0,399.06,398.78,-4.44,-4.72,144477.0,5761496.0,33912.0,
AU.SHF,20210108,399.06,398.78,398.54,399.0,395.5,396.06,397.56,-2.72,-1.22,95356.0,3791089.0,29720.0,
AU.SHF,20210111,396.06,397.56,392.54,392.84,378.2,385.0,385.68,-12.56,-11.88,161329.0,6222365.0,28848.0,
AU.SHF,20210112,385.0,385.68,384.36,387.74,381.72,387.42,384.68,1.74,-1.0,90144.0,3467749.0,23586.0,
AU.SHF,20210113,387.42,384.68,387.54,388.68,384.02,387.54,386.18,2.86,1.5,80959.0,3126484.0,20228.0,
AU.SHF,20210114,387.54,386.18,387.18,388.96,383.0,385.3,386.92,-0.88,0.74,62634.0,2423447.0,20030.0,
AU.SHF,20210115,385.3,387.92,386.5,390.18,385.84,387.9,387.88,-0.02,-0.04,97553.0,3784010.0,110771.0,
AU.SHF,20210118,387.9,387.88,387.98,388.78,382.08,386.82,385.52,-1.06,-2.36,131706.0,5077602.0,114356.0,
AU.SHF,20210119,386.82,385.52,387.16,388.56,386.2,387.72,387.34,2.2,1.82,70338.0,2724542.0,117548.0,
AU.SHF,20210120,387.72,387.34,386.4,389.52,385.26,388.82,387.36,1.48,0.02,93863.0,3635997.0,120653.0,
AU.SHF,20210121,388.82,387.36,387.22,392.96,384.78,392.72,390.14,5.36,2.78,147688.0,5762008.0,123284.0,
AU.SHF,20210122,392.72,390.14,391.36,391.94,389.52,390.9,390.74,0.76,0.6,108894.0,4255074.0,118234.0,
AU.SHF,20210125,390.9,390.74,388.0,391.8,386.58,389.0,389.08,-1.74,-1.66,116924.0,4549445.0,115004.0,
