signal_date,exec_date,entry_date,direction,entry_price,exit_price,pnl,pnl_pct
2016-10-10,2016-10-11,2016-03-11,long,268.85,273.05,15622.09,0.015622
2016-11-09,2016-11-10,2016-10-11,short,273.05,289.6,-61558.49,-0.060612
2016-11-25,2016-11-28,2016-11-10,long,289.6,271.25,-60452.58,-0.063363
2017-02-24,2017-02-27,2016-11-28,short,271.25,282.45,-36897.49,-0.04129
2017-07-03,2017-07-04,2017-02-27,long,282.45,271.6,-32909.69,-0.038414
2017-08-29,2017-08-30,2017-07-04,short,271.6,284.3,-38521.02,-0.04676
2017-12-12,2017-12-13,2017-08-30,long,284.3,270.9,-37012.98,-0.047133
2018-01-12,2018-01-15,2017-12-13,short,270.9,282.6,-32317.3,-0.043189
2018-02-07,2018-02-08,2018-01-15,long,282.6,270.35,-31034.74,-0.043347
2018-10-12,2018-10-15,2018-02-08,short,270.35,275.35,-12667.24,-0.018495
2019-03-04,2019-03-05,2018-10-15,long,275.35,280.1,11596.84,0.017251
2019-05-13,2019-05-14,2019-03-05,short,280.1,293.9,-33691.87,-0.049268
2019-11-06,2019-11-07,2019-05-14,long,293.9,336.05,93242.79,0.143416
2020-01-03,2020-01-06,2019-11-07,short,336.05,359.82,-52583.18,-0.070734
2020-03-13,2020-03-16,2020-01-06,long,359.82,342.92,-32446.16,-0.046968
2020-03-25,2020-03-26,2020-03-16,short,342.92,364.94,-42276.0,-0.064213
2020-08-12,2020-08-13,2020-03-26,long,364.94,415.02,84545.23,0.137228
2021-01-05,2021-01-06,2020-08-13,short,415.02,404.96,16983.33,0.02424
2021-02-18,2021-02-19,2021-01-06,long,404.96,370.64,-60817.79,-0.084749
2021-05-17,2021-05-18,2021-02-19,short,370.64,391.64,-37213.68,-0.056659
2021-06-25,2021-06-28,2021-05-18,long,391.64,369.62,-34836.52,-0.056225
2022-02-15,2022-02-16,2021-06-28,short,369.62,380.2,-16737.98,-0.028624
2022-07-01,2022-07-04,2022-02-16,long,380.2,386.7,9710.94,0.017096
2022-10-25,2022-10-26,2022-07-04,short,386.7,395.0,-12400.13,-0.021464
2023-10-09,2023-10-10,2022-10-26,long,395.0,450.06,78802.2,0.139392
2023-10-19,2023-10-20,2023-10-10,short,450.06,477.56,-39358.17,-0.061103
2024-04-23,2024-04-24,2023-10-20,long,477.56,546.02,86696.09,0.143354
2024-05-20,2024-05-21,2024-04-24,short,546.02,581.22,-44576.43,-0.064467
2024-11-14,2024-11-15,2024-05-21,long,581.22,592.12,12131.55,0.018754
2024-12-12,2024-12-13,2024-11-15,short,592.12,630.0,-42159.93,-0.063974
2025-05-13,2025-05-14,2024-12-13,long,630.0,760.78,128052.66,0.207587
2025-09-03,2025-09-04,2025-05-14,short,760.78,823.24,-61157.43,-0.0821
2025-10-28,2025-10-29,2025-09-04,long,823.24,893.64,58472.0,0.085516
2025-12-15,2025-12-16,2025-10-29,short,893.64,983.8,-74884.03,-0.100891
2026-02-02,2026-02-03,2025-12-16,long,983.8,1033.5,33713.2,0.050518
,2026-07-31,2026-02-03,short,1033.5,888.3,98494.08,0.140493
