signal_date,exec_date,entry_date,direction,entry_price,exit_price,pnl,pnl_pct
2016-10-10,2016-10-11,2016-01-26,long,2.385,2.724,142138.36,0.142138
2016-11-09,2016-11-10,2016-10-11,short,2.724,2.815,-38155.14,-0.033407
2016-11-14,2016-11-15,2016-11-10,long,2.815,2.705,-43139.66,-0.039076
2017-02-07,2017-02-08,2016-11-15,short,2.705,2.732,-10588.83,-0.009982
2017-05-04,2017-05-05,2017-02-08,long,2.732,2.731,-384.43,-0.000366
2017-08-11,2017-08-14,2017-05-05,short,2.731,2.767,-13839.37,-0.013182
2017-10-27,2017-10-30,2017-08-14,long,2.767,2.709,-21716.59,-0.020961
2018-01-02,2018-01-03,2017-10-30,short,2.709,2.744,-13104.84,-0.01292
2018-02-05,2018-02-06,2018-01-03,long,2.744,2.721,-8392.06,-0.008382
2018-10-12,2018-10-15,2018-02-06,short,2.721,2.729,-2918.98,-0.00294
2019-03-04,2019-03-05,2018-10-15,long,2.729,2.767,13783.86,0.013925
2019-05-14,2019-05-15,2019-03-05,short,2.767,2.858,-33008.71,-0.032888
2019-11-08,2019-11-11,2019-05-15,long,2.858,3.255,134834.65,0.138908
2020-01-03,2020-01-06,2019-11-11,short,3.255,3.51,-86606.64,-0.078341
2020-03-13,2020-03-16,2020-01-06,long,3.51,3.382,-37156.53,-0.036467
2020-04-24,2020-04-27,2020-03-16,short,3.382,3.763,-110598.72,-0.112655
2020-08-12,2020-08-13,2020-04-27,long,3.763,4.04,64126.37,0.073611
2020-12-21,2020-12-22,2020-08-13,short,4.04,3.852,43522.59,0.046535
2021-02-04,2021-02-05,2020-12-22,long,3.852,3.673,-45484.0,-0.046469
2021-05-07,2021-05-10,2021-02-05,short,3.673,3.74,-17024.74,-0.018241
2021-06-17,2021-06-18,2021-05-10,long,3.74,3.622,-28909.58,-0.031551
2021-11-11,2021-11-12,2021-06-18,short,3.622,3.732,-26949.61,-0.03037
2021-12-02,2021-12-03,2021-11-12,long,3.732,3.56,-39655.28,-0.046088
2022-02-14,2022-02-15,2021-12-03,short,3.56,3.746,-42883.04,-0.052247
2022-07-01,2022-07-04,2022-02-15,long,3.746,3.793,9759.95,0.012547
2022-08-02,2022-08-03,2022-07-04,short,3.793,3.76,6852.73,0.0087
2023-09-28,2023-10-09,2022-08-03,long,3.76,4.391,133332.61,0.167819
2023-10-20,2023-10-23,2023-10-09,short,4.391,4.591,-42260.73,-0.045548
2024-11-12,2024-11-13,2023-10-23,long,4.591,5.795,232243.67,0.262252
2024-12-12,2024-12-13,2024-11-13,short,5.795,6.018,-43015.23,-0.038481
2025-05-14,2025-05-15,2024-12-13,long,6.018,7.01,177169.11,0.164839
2025-09-01,2025-09-02,2025-05-15,short,7.01,7.75,-132162.44,-0.105563
2026-02-02,2026-02-03,2025-09-02,long,7.75,10.105,340277.38,0.303871
,2026-07-31,2026-02-03,short,10.105,8.433,241589.71,0.165463
