signal_date,exec_date,entry_date,direction,entry_price,exit_price,pnl,pnl_pct
2016-05-25,2016-05-26,2016-01-07,long,2.373,2.587,90181.21,0.090181
2016-06-13,2016-06-14,2016-05-26,short,2.587,2.725,-58154.24,-0.053344
2016-10-10,2016-10-11,2016-06-14,long,2.725,2.724,-378.73,-0.000367
2016-11-02,2016-11-03,2016-10-11,short,2.724,2.833,-41281.08,-0.040015
2016-11-14,2016-11-15,2016-11-03,long,2.833,2.705,-44746.56,-0.045182
2017-01-12,2017-01-13,2016-11-15,short,2.705,2.667,13284.13,0.014048
2017-05-04,2017-05-05,2017-01-13,long,2.667,2.731,23010.84,0.023997
2017-06-06,2017-06-07,2017-05-05,short,2.731,2.827,-34516.26,-0.035152
2017-06-30,2017-07-03,2017-06-07,long,2.827,2.704,-41220.42,-0.043509
2017-08-11,2017-08-14,2017-07-03,short,2.704,2.767,-21112.9,-0.023299
2017-10-09,2017-10-10,2017-08-14,long,2.767,2.728,-12474.73,-0.014095
2018-01-02,2018-01-03,2017-10-10,short,2.728,2.744,-5117.84,-0.005865
2018-02-07,2018-02-08,2018-01-03,long,2.744,2.667,-24342.37,-0.028061
2018-10-12,2018-10-15,2018-02-08,short,2.667,2.729,-19600.35,-0.023247
2019-03-04,2019-03-05,2018-10-15,long,2.729,2.767,11467.27,0.013925
2019-05-14,2019-05-15,2019-03-05,short,2.767,2.858,-27461.08,-0.032888
2019-10-14,2019-10-15,2019-05-15,long,2.858,3.361,142124.24,0.175997
2019-12-04,2019-12-05,2019-10-15,short,3.361,3.322,11019.57,0.011604
2020-03-16,2020-03-17,2019-12-05,long,3.322,3.25,-20821.5,-0.021674
2020-04-07,2020-04-08,2020-03-17,short,3.25,3.654,-116831.73,-0.124308
2020-08-12,2020-08-13,2020-04-08,long,3.654,4.04,86942.7,0.105638
2020-12-21,2020-12-22,2020-08-13,short,4.04,3.852,42345.15,0.046535
2021-01-28,2021-01-29,2020-12-22,long,3.852,3.763,-22003.13,-0.023105
2021-05-07,2021-05-10,2021-01-29,short,3.763,3.74,5686.2,0.006112
2021-06-17,2021-06-18,2021-05-10,long,3.74,3.622,-29531.5,-0.031551
2021-11-08,2021-11-09,2021-06-18,short,3.622,3.676,-13514.42,-0.014909
2021-11-24,2021-11-25,2021-11-09,long,3.676,3.609,-16275.25,-0.018226
2022-02-14,2022-02-15,2021-11-25,short,3.609,3.746,-33279.24,-0.037961
2022-06-24,2022-06-27,2022-02-15,long,3.746,3.841,21388.9,0.02536
2022-07-29,2022-08-01,2022-06-27,short,3.841,3.752,20038.02,0.023171
2023-09-28,2023-10-09,2022-08-01,long,3.752,4.391,150693.8,0.170309
2023-10-20,2023-10-23,2023-10-09,short,4.391,4.591,-47165.51,-0.045548
2023-11-22,2023-11-23,2023-10-23,long,4.591,4.488,-22173.9,-0.022435
2023-11-29,2023-11-30,2023-11-23,short,4.488,4.6,-24111.43,-0.024955
2024-11-12,2024-11-13,2023-11-30,long,4.6,5.795,244732.85,0.259783
2025-01-09,2025-01-10,2024-11-13,short,5.795,6.109,-64306.37,-0.054185
2026-03-19,2026-03-20,2025-01-10,long,6.109,9.883,693451.25,0.617777
,2026-07-31,2026-03-20,short,9.883,8.433,266429.34,0.146717
