ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount
518880.SH,20160104,2.232,2.235,2.253,2.229,2.251,0.019,0.8513,154728.99,34666.689
518880.SH,20160105,2.251,2.257,2.275,2.256,2.27,0.019,0.8441,222341.02,50342.479
518880.SH,20160106,2.27,2.262,2.318,2.261,2.289,0.019,0.837,486683.8,111354.579
518880.SH,20160107,2.289,2.308,2.373,2.308,2.339,0.05,2.1844,841897.6,197031.762
518880.SH,20160108,2.339,2.343,2.347,2.309,2.338,-0.001,-0.0428,568039.44,132705.908
518880.SH,20160111,2.338,2.345,2.358,2.338,2.347,0.009,0.3849,260971.53,61227.213
518880.SH,20160112,2.347,2.319,2.324,2.31,2.318,-0.029,-1.2356,226556.0,52524.403
518880.SH,20160113,2.318,2.299,2.304,2.295,2.3,-0.018,-0.7765,224189.0,51557.189
518880.SH,20160114,2.3,2.308,2.324,2.308,2.317,0.017,0.7391,239074.5,55420.813
518880.SH,20160115,2.317,2.294,2.305,2.291,2.304,-0.013,-0.5611,198530.0,45590.436
518880.SH,20160118,2.304,2.316,2.319,2.311,2.313,0.009,0.3906,262987.86,60891.451
518880.SH,20160119,2.313,2.303,2.316,2.302,2.311,-0.002,-0.0865,170386.5,39324.883
518880.SH,20160120,2.311,2.313,2.33,2.313,2.329,0.018,0.7789,747691.17,173500.43
518880.SH,20160121,2.329,2.334,2.358,2.331,2.35,0.021,0.9017,955257.42,223816.578
518880.SH,20160122,2.35,2.331,2.34,2.327,2.335,-0.015,-0.6383,348238.2,81317.856
518880.SH,20160125,2.335,2.332,2.347,2.332,2.339,0.004,0.1713,329195.0,77010.652
518880.SH,20160126,2.339,2.35,2.385,2.35,2.379,0.04,1.7101,917047.39,217101.642
518880.SH,20160127,2.379,2.38,2.385,2.37,2.375,-0.004,-0.1681,375957.79,89426.581
518880.SH,20160128,2.375,2.375,2.379,2.357,2.361,-0.014,-0.5895,477642.75,113102.649
518880.SH,20160129,2.361,2.357,2.367,2.353,2.363,0.002,0.0847,493454.09,116442.876
518880.SH,20160201,2.363,2.367,2.388,2.367,2.383,0.02,0.8464,888386.65,211656.656
518880.SH,20160202,2.383,2.398,2.398,2.386,2.389,0.006,0.2518,317837.5,75948.1
518880.SH,20160203,2.389,2.388,2.401,2.388,2.399,0.01,0.4186,521793.61,125104.661
518880.SH,20160204,2.399,2.415,2.43,2.415,2.421,0.022,0.917,436089.93,105572.677
518880.SH,20160205,2.421,2.449,2.454,2.443,2.451,0.03,1.2392,637695.76,156034.577
518880.SH,20160215,2.451,2.598,2.6,2.536,2.547,0.096,3.9168,1149282.56,294435.016
518880.SH,20160216,2.547,2.517,2.52,2.496,2.512,-0.035,-1.3742,1392511.17,349126.102
518880.SH,20160217,2.512,2.512,2.539,2.507,2.533,0.021,0.836,872289.32,220289.372
518880.SH,20160218,2.533,2.528,2.539,2.528,2.537,0.004,0.1579,429882.23,108960.443
518880.SH,20160219,2.537,2.561,2.576,2.561,2.574,0.037,1.4584,697517.65,179266.409
518880.SH,20160222,2.574,2.574,2.574,2.55,2.555,-0.019,-0.7382,605675.88,154940.448
518880.SH,20160223,2.555,2.549,2.565,2.542,2.557,0.002,0.0783,702109.39,179456.362
518880.SH,20160224,2.557,2.572,2.6,2.572,2.577,0.02,0.7822,1134212.14,292865.252
