ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount
518880.SH,20210104,3.85,3.897,3.909,3.894,3.902,0.052,1.3506,3550731.16,1384874.111
518880.SH,20210105,3.902,3.923,3.93,3.914,3.92,0.018,0.4613,4155910.92,1630368.946
518880.SH,20210106,3.92,3.931,3.939,3.922,3.931,0.011,0.2806,4595314.9,1806842.663
518880.SH,20210107,3.931,3.889,3.904,3.875,3.903,-0.028,-0.7123,4302338.24,1671592.523
518880.SH,20210108,3.903,3.89,3.894,3.876,3.878,-0.025,-0.6405,2721332.04,1057337.389
518880.SH,20210111,3.878,3.73,3.782,3.715,3.777,-0.101,-2.6044,3749076.46,1407572.011
518880.SH,20210112,3.777,3.769,3.808,3.767,3.805,0.028,0.7413,3690513.44,1398000.39
518880.SH,20210113,3.805,3.803,3.815,3.79,3.797,-0.008,-0.2102,3781375.98,1438637.832
518880.SH,20210114,3.797,3.796,3.796,3.752,3.772,-0.025,-0.6584,3217713.22,1215030.48
518880.SH,20210115,3.772,3.792,3.798,3.775,3.785,0.013,0.3446,1818354.03,689339.096
518880.SH,20210118,3.785,3.741,3.783,3.739,3.775,-0.01,-0.2642,4706110.86,1768802.096
518880.SH,20210119,3.775,3.793,3.793,3.772,3.779,0.004,0.106,3101890.34,1172521.345
518880.SH,20210120,3.779,3.79,3.795,3.78,3.789,0.01,0.2646,3345620.54,1267024.864
518880.SH,20210121,3.789,3.813,3.828,3.81,3.825,0.036,0.9501,2478225.0,946259.824
518880.SH,20210122,3.825,3.811,3.815,3.798,3.806,-0.019,-0.4967,2392157.6,910922.954
518880.SH,20210125,3.806,3.807,3.808,3.785,3.788,-0.018,-0.4729,3803775.73,1445368.435
518880.SH,20210126,3.788,3.796,3.811,3.792,3.799,0.011,0.2904,2916524.0,1108918.523
518880.SH,20210127,3.799,3.777,3.782,3.762,3.779,-0.02,-0.5265,2652937.91,1000651.681
518880.SH,20210128,3.779,3.767,3.771,3.759,3.761,-0.018,-0.4763,2992751.33,1127119.15
518880.SH,20210129,3.761,3.763,3.784,3.763,3.778,0.017,0.452,3698259.54,1392942.8
518880.SH,20210201,3.778,3.778,3.828,3.77,3.82,0.042,1.1117,3525016.0,1340715.966
518880.SH,20210202,3.82,3.815,3.821,3.786,3.789,-0.031,-0.8115,2618254.05,996792.743
518880.SH,20210203,3.789,3.755,3.765,3.745,3.75,-0.039,-1.0293,3863747.96,1451000.009
518880.SH,20210204,3.75,3.746,3.746,3.699,3.723,-0.027,-0.72,3022185.64,1123940.383
518880.SH,20210205,3.723,3.68,3.686,3.673,3.681,-0.042,-1.1281,1681345.2,618561.978
518880.SH,20210208,3.681,3.708,3.715,3.698,3.712,0.031,0.8422,1920246.0,711805.158
518880.SH,20210209,3.712,3.742,3.759,3.741,3.752,0.04,1.0776,1934631.84,726035.173
518880.SH,20210210,3.752,3.742,3.762,3.738,3.756,0.004,0.1066,1609927.13,603820.767
518880.SH,20210218,3.756,3.645,3.653,3.636,3.65,-0.106,-2.8222,3387785.0,1234795.893
518880.SH,20210219,3.65,3.629,3.645,3.616,3.634,-0.016,-0.4384,3620583.54,1313616.52
518880.SH,20210222,3.634,3.664,3.685,3.654,3.675,0.041,1.1282,3378595.41,1238640.234
518880.SH,20210223,3.675,3.704,3.727,3.704,3.713,0.038,1.034,3505323.38,1303146.354
518880.SH,20210224,3.713,3.709,3.714,3.7,3.705,-0.008,-0.2155,3625481.22,1343808.308
518880.SH,20210225,3.705,3.684,3.686,3.664,3.67,-0.035,-0.9447,2583822.72,950092.233
518880.SH,20210226,3.67,3.65,3.65,3.606,3.613,-0.057,-1.5531,3579412.31,1300498.652
518880.SH,20210301,3.613,3.572,3.6,3.571,3.595,-0.018,-0.4982,3588630.84,1286583.453
518880.SH,20210302,3.595,3.54,3.546,3.503,3.536,-0.059,-1.6412,4334148.11,1526297.769
518880.SH,20210303,3.536,3.554,3.572,3.545,3.549,0.013,0.3676,2401289.32,853055.97
518880.SH,20210304,3.549,3.518,3.521,3.504,3.514,-0.035,-0.9862,4091027.56,1437289.859
518880.SH,20210305,3.514,3.467,3.486,3.463,3.482,-0.032,-0.9106,3134664.15,1088347.996
