signal_date,exec_date,entry_date,direction,entry_price,exit_price,pnl,pnl_pct
2016-06-13,2016-06-14,2016-05-26,short,2.587,2.725,-53343.64,-0.053344
2016-09-30,2016-10-10,2016-06-14,long,2.725,2.72,-1736.98,-0.001835
2016-11-02,2016-11-03,2016-10-11,short,2.724,2.833,-37810.65,-0.040015
2016-11-14,2016-11-15,2016-11-03,long,2.833,2.705,-40984.79,-0.045182
2017-01-12,2017-01-13,2016-11-15,short,2.705,2.667,12167.36,0.014048
2017-03-09,2017-03-10,2017-01-13,long,2.667,2.688,6915.68,0.007874
2017-03-20,2017-03-21,2017-03-10,short,2.688,2.766,-25686.81,-0.029018
2017-05-04,2017-05-05,2017-03-21,long,2.766,2.731,-10876.07,-0.012654
2017-06-05,2017-06-06,2017-05-05,short,2.731,2.824,-28899.27,-0.034053
2017-06-20,2017-06-21,2017-06-06,long,2.824,2.742,-23802.79,-0.029037
2017-07-27,2017-07-28,2017-06-21,short,2.742,2.74,580.56,0.000729
2017-10-11,2017-10-12,2017-07-28,long,2.74,2.729,-3197.72,-0.004015
2017-11-23,2017-11-24,2017-10-12,short,2.729,2.733,-1162.81,-0.001466
2018-02-05,2018-02-06,2018-01-02,long,2.724,2.721,-872.43,-0.001101
2018-03-12,2018-03-13,2018-02-06,short,2.721,2.703,5234.55,0.006615
2018-11-13,2018-11-14,2018-10-12,long,2.708,2.684,-7059.3,-0.008863
2018-12-10,2018-12-11,2018-11-14,short,2.684,2.767,-24413.41,-0.030924
2019-02-28,2019-03-01,2018-12-11,long,2.767,2.821,14930.53,0.019516
2019-05-13,2019-05-14,2019-03-01,short,2.821,2.865,-12165.62,-0.015597
2019-10-14,2019-10-15,2019-05-14,long,2.865,3.361,132927.38,0.173124
2019-12-25,2019-12-26,2019-10-15,short,3.361,3.357,1071.99,0.00119
2020-03-03,2020-03-04,2019-12-26,long,3.357,3.607,67159.35,0.074471
2020-04-23,2020-04-24,2020-03-04,short,3.607,3.775,-45131.08,-0.046576
2020-08-12,2020-08-13,2020-04-24,long,3.775,4.04,64852.63,0.070199
2020-12-18,2020-12-21,2020-08-13,short,4.04,3.897,34995.95,0.035396
2021-01-11,2021-01-12,2020-12-21,long,3.897,3.767,-34149.36,-0.033359
2021-04-16,2021-04-19,2021-01-12,short,3.767,3.676,23904.55,0.024157
2021-04-27,2021-04-28,2021-04-19,long,3.676,3.627,-13508.96,-0.01333
2021-08-30,2021-08-31,2021-06-18,short,3.622,3.697,-20705.53,-0.020707
2021-09-03,2021-09-06,2021-08-31,long,3.697,3.707,2648.72,0.002705
2021-11-03,2021-11-04,2021-09-22,short,3.631,3.586,12168.74,0.012393
2021-11-24,2021-11-25,2021-11-10,long,3.679,3.609,-18913.71,-0.019027
2022-01-17,2022-01-18,2021-11-25,short,3.609,3.641,-8646.27,-0.008867
2022-05-12,2022-05-13,2022-01-21,long,3.677,3.881,53620.92,0.05548
2022-09-20,2022-09-21,2022-08-01,long,3.752,3.745,-1903.19,-0.001866
2023-03-14,2023-03-15,2023-02-13,short,4.005,4.142,-34830.1,-0.034207
2023-06-14,2023-06-15,2023-03-15,long,4.142,4.328,44159.44,0.044906
2023-10-19,2023-10-20,2023-10-09,short,4.391,4.605,-50078.14,-0.048736
2024-02-07,2024-02-08,2023-10-20,long,4.605,4.653,10188.51,0.010423
2024-07-12,2024-07-15,2024-06-12,short,5.253,5.467,-40235.43,-0.040739
2024-07-25,2024-07-26,2024-07-15,long,5.467,5.311,-27034.28,-0.028535
2024-09-20,2024-09-23,2024-07-26,short,5.311,5.725,-71744.81,-0.077951
2024-12-31,2025-01-02,2024-11-25,long,6.013,5.96,-7480.06,-0.008814
2026-02-02,2026-02-03,2025-09-02,long,7.75,10.105,255602.17,0.303871
,2026-07-31,2026-02-03,short,10.105,8.433,181472.12,0.165463
