signal_date,exec_date,entry_date,direction,entry_price,exit_price,pnl,pnl_pct
2016-04-06,2016-04-07,2016-03-25,short,2.538,2.558,-7880.22,-0.00788
2016-06-07,2016-06-08,2016-05-26,short,2.587,2.646,-22626.62,-0.022806
2016-08-22,2016-08-23,2016-06-27,long,2.835,2.855,6839.46,0.007055
2017-05-24,2017-05-25,2017-05-19,long,2.787,2.784,-1050.95,-0.001076
2018-02-02,2018-02-05,2018-01-31,short,2.732,2.713,6782.71,0.006955
2019-03-21,2019-03-22,2019-01-31,long,2.843,2.825,-6217.78,-0.006331
2019-09-10,2019-09-11,2019-07-22,long,3.159,3.396,73211.66,0.075024
2019-09-26,2019-09-27,2019-09-11,short,3.396,3.435,-12047.49,-0.011484
2019-12-13,2019-12-16,2019-12-05,long,3.322,3.281,-12798.75,-0.012342
2019-12-17,2019-12-18,2019-12-16,short,3.281,3.297,-4994.63,-0.004877
2020-03-02,2020-03-03,2020-02-04,long,3.512,3.53,5223.78,0.005125
2020-03-06,2020-03-09,2020-03-03,short,3.53,3.728,-57461.57,-0.056091
2020-03-13,2020-03-16,2020-03-09,long,3.728,3.382,-89746.5,-0.092811
2020-04-03,2020-04-07,2020-03-16,short,3.382,3.691,-80149.33,-0.091366
2020-08-18,2020-08-19,2020-08-13,short,4.04,4.217,-34921.74,-0.043812
2020-09-01,2020-09-02,2020-08-19,long,4.217,4.12,-17531.35,-0.023002
2021-02-01,2021-02-02,2021-01-12,short,3.767,3.821,-10674.29,-0.014335
2021-06-09,2021-06-10,2021-06-07,short,3.754,3.781,-5278.86,-0.007192
2023-02-06,2023-02-07,2022-12-22,long,3.992,4.009,3103.09,0.004259
2023-02-14,2023-02-15,2023-02-07,short,4.009,4.023,-2555.48,-0.003492
2023-10-17,2023-10-18,2023-09-28,short,4.4,4.524,-20550.89,-0.028182
2023-11-10,2023-11-13,2023-10-18,long,4.524,4.522,-313.3,-0.000442
2024-06-04,2024-06-05,2024-05-21,long,5.549,5.302,-31530.93,-0.044513
2024-11-26,2024-11-27,2024-11-22,long,6.011,5.856,-17452.78,-0.025786
2025-05-28,2025-05-29,2025-04-11,long,7.34,7.26,-7186.67,-0.010899
2026-01-12,2026-01-13,2026-01-05,short,9.421,9.825,-27967.84,-0.042883
2026-02-25,2026-02-26,2026-01-13,long,9.825,10.896,68045.04,0.109008
,2026-07-31,2026-05-21,short,9.447,8.433,74305.02,0.107336
