signal_date,exec_date,entry_date,direction,entry_price,exit_price,pnl,pnl_pct
2016-05-25,2016-05-26,2016-01-15,long,2.305,2.587,122342.73,0.122343
2016-06-13,2016-06-14,2016-05-26,short,2.587,2.725,-59869.85,-0.053344
2016-10-10,2016-10-11,2016-06-14,long,2.725,2.724,-389.9,-0.000367
2016-11-02,2016-11-03,2016-10-11,short,2.724,2.833,-42498.92,-0.040015
2017-03-09,2017-03-10,2017-01-13,long,2.667,2.688,8028.22,0.007874
2017-06-05,2017-06-06,2017-05-05,short,2.731,2.824,-34993.75,-0.034053
2017-06-20,2017-06-21,2017-06-06,long,2.824,2.742,-28822.49,-0.029037
2017-07-27,2017-07-28,2017-06-21,short,2.742,2.74,702.99,0.000729
2017-10-11,2017-10-12,2017-07-28,long,2.74,2.729,-3872.08,-0.004015
2017-12-29,2018-01-02,2017-10-12,short,2.729,2.724,1760.03,0.001832
2018-02-05,2018-02-06,2018-01-02,long,2.724,2.721,-1059.9,-0.001101
2018-10-11,2018-10-12,2018-02-06,short,2.721,2.708,4592.89,0.004778
2018-11-13,2018-11-14,2018-10-12,long,2.708,2.684,-8560.59,-0.008863
2018-12-10,2018-12-11,2018-11-14,short,2.684,2.767,-29605.38,-0.030924
2019-10-14,2019-10-15,2019-05-14,long,2.865,3.361,160616.4,0.173124
2019-12-25,2019-12-26,2019-10-15,short,3.361,3.357,1295.29,0.00119
2021-06-17,2021-06-18,2021-04-19,long,3.676,3.622,-16007.06,-0.01469
2021-08-30,2021-08-31,2021-06-18,short,3.622,3.697,-22232.03,-0.020707
2021-09-17,2021-09-22,2021-08-31,long,3.697,3.631,-18770.4,-0.017852
2021-11-09,2021-11-10,2021-09-22,short,3.631,3.679,-13651.2,-0.013219
2023-02-10,2023-02-13,2022-08-01,long,3.752,4.005,68712.23,0.067431
2023-03-14,2023-03-15,2023-02-13,short,4.005,4.142,-37207.81,-0.034207
2023-09-28,2023-10-09,2023-03-15,long,4.142,4.391,63152.31,0.060116
2024-07-12,2024-07-15,2024-06-12,short,5.253,5.467,-45369.05,-0.040739
2025-05-13,2025-05-14,2024-09-23,long,5.725,7.265,287366.07,0.268996
2025-09-01,2025-09-02,2025-05-14,short,7.265,7.75,-90501.65,-0.066758
,2026-07-31,2025-09-02,long,7.75,8.433,111497.07,0.088129
