signal_date,exec_date,entry_date,direction,entry_price,exit_price,pnl,pnl_pct
2016-03-24,2016-03-25,2016-01-25,long,2.347,2.538,81380.49,0.08138
2016-04-29,2016-05-03,2016-03-25,short,2.538,2.711,-73711.12,-0.068164
2016-05-25,2016-05-26,2016-05-03,long,2.711,2.587,-46090.37,-0.04574
2016-06-07,2016-06-08,2016-05-26,short,2.587,2.646,-21930.1,-0.022806
2016-06-22,2016-06-23,2016-06-08,long,2.646,2.672,9233.13,0.009826
2016-06-24,2016-06-27,2016-06-23,short,2.672,2.835,-57884.64,-0.061003
2016-08-31,2016-09-01,2016-06-27,long,2.835,2.814,-6599.98,-0.007407
2016-09-07,2016-09-08,2016-09-01,short,2.814,2.89,-23885.64,-0.027008
2016-09-19,2016-09-20,2016-09-08,long,2.89,2.827,-18758.56,-0.021799
2016-11-01,2016-11-02,2016-09-20,short,2.827,2.825,595.51,0.000707
2016-11-11,2016-11-14,2016-11-02,long,2.825,2.675,-44726.48,-0.053097
2017-01-10,2017-01-11,2016-11-14,short,2.675,2.667,2385.41,0.002991
2017-03-07,2017-03-08,2017-01-11,long,2.667,2.717,14998.27,0.018748
2017-03-16,2017-03-17,2017-03-08,short,2.717,2.755,-11398.68,-0.013986
2017-04-26,2017-04-27,2017-03-17,long,2.755,2.8,13126.07,0.016334
2017-05-18,2017-05-19,2017-04-27,short,2.8,2.787,3791.98,0.004643
2017-06-12,2017-06-13,2017-05-19,long,2.787,2.767,-5888.23,-0.007176
2017-07-21,2017-07-24,2017-06-13,short,2.767,2.739,8243.53,0.010119
2017-09-21,2017-09-22,2017-07-24,long,2.739,2.733,-1802.59,-0.002191
2017-12-19,2017-12-20,2017-09-22,short,2.733,2.687,13819.83,0.016831
2018-01-30,2018-01-31,2017-12-20,long,2.687,2.732,13982.29,0.016747
2018-02-14,2018-02-22,2018-01-31,short,2.732,2.709,7146.5,0.008419
2018-03-29,2018-03-30,2018-02-22,long,2.709,2.689,-6319.87,-0.007383
2018-05-30,2018-05-31,2018-03-30,short,2.689,2.687,631.99,0.000744
2018-06-20,2018-06-21,2018-05-31,long,2.687,2.639,-15190.27,-0.017864
2018-07-06,2018-07-09,2018-06-21,short,2.639,2.68,-12975.02,-0.015536
2018-07-18,2018-07-19,2018-07-09,long,2.68,2.644,-11044.12,-0.013433
2018-08-27,2018-08-28,2018-07-19,short,2.644,2.652,-2454.25,-0.003026
2018-09-28,2018-10-08,2018-08-28,long,2.652,2.65,-609.86,-0.000754
2018-10-11,2018-10-12,2018-10-08,short,2.65,2.708,-17685.95,-0.021887
2018-11-09,2018-11-12,2018-10-12,long,2.708,2.696,-3502.42,-0.004431
2018-11-22,2018-11-23,2018-11-12,short,2.696,2.737,-11966.6,-0.015208
2019-01-11,2019-01-14,2018-11-23,long,2.737,2.795,16421.19,0.021191
2019-01-30,2019-01-31,2019-01-14,short,2.795,2.843,-13589.95,-0.017174
2019-02-22,2019-02-25,2019-01-31,long,2.843,2.853,2735.64,0.003517
2019-03-21,2019-03-22,2019-02-25,short,2.853,2.834,5197.71,0.00666
2019-03-29,2019-04-01,2019-03-22,long,2.834,2.787,-13029.89,-0.016584
2019-05-08,2019-05-09,2019-04-01,short,2.787,2.808,-5821.87,-0.007535
2019-07-01,2019-07-02,2019-05-09,long,2.808,3.052,66632.77,0.086895
2019-07-19,2019-07-22,2019-07-02,short,3.052,3.159,-29220.11,-0.035059
2019-09-10,2019-09-11,2019-07-22,long,3.159,3.396,60336.77,0.075024
2019-12-04,2019-12-05,2019-09-11,short,3.396,3.322,18839.33,0.02179
2019-12-13,2019-12-16,2019-12-05,long,3.322,3.281,-10903.04,-0.012342
2019-12-25,2019-12-26,2019-12-16,short,3.281,3.357,-20210.5,-0.023164
2020-01-09,2020-01-10,2019-12-26,long,3.357,3.413,14217.67,0.016682
2020-02-03,2020-02-04,2020-01-10,short,3.413,3.512,-25134.8,-0.029007
2020-03-02,2020-03-03,2020-02-04,long,3.512,3.53,4312.32,0.005125
2020-03-06,2020-03-09,2020-03-03,short,3.53,3.728,-47435.5,-0.056091
2020-03-13,2020-03-16,2020-03-09,long,3.728,3.382,-74087.25,-0.092811
2020-03-25,2020-03-26,2020-03-16,short,3.382,3.594,-45394.5,-0.062685
2020-06-08,2020-06-09,2020-03-26,long,3.594,3.778,34750.92,0.051196
2020-06-24,2020-06-29,2020-06-09,short,3.778,3.917,-26252.06,-0.036792
2020-08-12,2020-08-13,2020-06-29,long,3.917,4.04,21581.53,0.031402
2020-08-18,2020-08-19,2020-08-13,short,4.04,4.217,-31056.34,-0.043812
2020-09-22,2020-09-23,2020-08-19,long,4.217,3.911,-49183.51,-0.072563
2020-12-04,2020-12-07,2020-09-23,short,3.911,3.752,25556.14,0.040655
2021-01-11,2021-01-12,2020-12-07,long,3.752,3.767,2615.3,0.003998
2021-04-02,2021-04-06,2021-01-12,short,3.767,3.608,27722.15,0.042209
2021-06-04,2021-06-07,2021-04-06,long,3.608,3.754,27699.14,0.040466
2021-07-14,2021-07-15,2021-06-07,short,3.754,3.723,5881.32,0.008258
2021-08-09,2021-08-10,2021-07-15,long,3.723,3.545,-34332.57,-0.047811
2021-08-17,2021-08-18,2021-08-10,short,3.545,3.663,-22759.79,-0.033286
2021-09-16,2021-09-17,2021-08-18,long,3.663,3.578,-15338.48,-0.023205
2021-10-14,2021-10-15,2021-09-17,short,3.578,3.645,-12090.33,-0.018726
2021-11-23,2021-11-24,2021-10-15,long,3.645,3.606,-6778.93,-0.0107
2021-12-24,2021-12-27,2021-11-24,short,3.606,3.636,-5214.56,-0.008319
2022-01-27,2022-01-28,2021-12-27,long,3.636,3.591,-7692.77,-0.012376
2022-02-10,2022-02-11,2022-01-28,short,3.591,3.654,-10769.88,-0.017544
2022-03-15,2022-03-16,2022-02-11,long,3.654,3.792,22777.68,0.037767
2022-04-18,2022-04-19,2022-03-16,short,3.792,3.945,-25253.52,-0.040348
2022-05-16,2022-05-17,2022-04-19,long,3.945,3.868,-11723.47,-0.019518
2022-07-28,2022-07-29,2022-05-17,short,3.868,3.753,17509.08,0.029731
