signal_date,exec_date,entry_date,direction,entry_price,exit_price,pnl,pnl_pct
2016-10-10,2016-10-11,2016-03-11,long,2.68,2.724,16417.91,0.016418
2016-11-09,2016-11-10,2016-10-11,short,2.724,2.815,-33955.22,-0.033407
2016-11-14,2016-11-15,2016-11-10,long,2.815,2.705,-38391.08,-0.039076
2017-02-06,2017-02-07,2016-11-15,short,2.705,2.726,-7329.21,-0.007763
2017-05-04,2017-05-05,2017-02-07,long,2.726,2.731,1718.16,0.001834
2017-06-06,2017-06-07,2017-05-05,short,2.731,2.827,-32988.73,-0.035152
2017-06-30,2017-07-03,2017-06-07,long,2.827,2.704,-39396.19,-0.043509
2017-08-04,2017-08-07,2017-07-03,short,2.704,2.738,-10890.0,-0.012574
2017-10-23,2017-10-24,2017-08-07,long,2.738,2.721,-5309.77,-0.006209
2018-01-02,2018-01-03,2017-10-24,short,2.721,2.744,-7183.81,-0.008453
2018-02-05,2018-02-06,2018-01-03,long,2.744,2.721,-7063.38,-0.008382
2018-10-11,2018-10-12,2018-02-06,short,2.721,2.708,3992.35,0.004778
2018-11-12,2018-11-13,2018-10-12,long,2.708,2.687,-6511.09,-0.007755
2018-12-10,2018-12-11,2018-11-13,short,2.687,2.767,-24804.17,-0.029773
2019-01-25,2019-01-28,2018-12-11,long,2.767,2.819,15190.42,0.018793
2019-02-18,2019-02-19,2019-01-28,short,2.819,2.883,-18695.9,-0.022703
2019-02-28,2019-03-01,2019-02-19,long,2.883,2.821,-17307.53,-0.021505
2019-03-25,2019-03-26,2019-03-01,short,2.821,2.858,-10328.69,-0.013116
2019-04-17,2019-04-18,2019-03-26,long,2.858,2.749,-29639.92,-0.038139
2019-05-14,2019-05-15,2019-04-18,short,2.749,2.858,-29639.92,-0.039651
2019-07-01,2019-07-02,2019-05-15,long,2.858,3.052,48729.72,0.06788
2019-07-19,2019-07-22,2019-07-02,short,3.052,3.159,-26876.7,-0.035059
2019-10-14,2019-10-15,2019-07-22,long,3.159,3.361,47301.97,0.063944
2020-01-03,2020-01-06,2019-10-15,short,3.361,3.51,-34891.06,-0.044332
2020-01-14,2020-01-15,2020-01-06,long,3.51,3.395,-24643.03,-0.032764
2020-02-19,2020-02-20,2020-01-15,short,3.395,3.595,-42857.44,-0.05891
2020-03-02,2020-03-03,2020-02-20,long,3.595,3.53,-12378.89,-0.018081
2020-03-25,2020-03-26,2020-03-03,short,3.53,3.594,-12188.44,-0.01813
2020-08-12,2020-08-13,2020-03-26,long,3.594,4.04,81913.14,0.124096
2020-12-18,2020-12-21,2020-08-13,short,4.04,3.897,26263.63,0.035396
2021-02-04,2021-02-05,2020-12-21,long,3.897,3.673,-44159.51,-0.05748
2021-05-07,2021-05-10,2021-02-05,short,3.673,3.74,-13208.42,-0.018241
2021-06-17,2021-06-18,2021-05-10,long,3.74,3.622,-22429.12,-0.031551
2021-09-06,2021-09-07,2021-06-18,short,3.622,3.713,-17297.04,-0.025124
2021-09-28,2021-09-29,2021-09-07,long,3.713,3.551,-29283.17,-0.04363
2021-11-11,2021-11-12,2021-09-29,short,3.551,3.732,-32717.62,-0.050972
2021-12-01,2021-12-02,2021-11-12,long,3.732,3.569,-26605.96,-0.043676
2022-02-14,2022-02-15,2021-12-02,short,3.569,3.746,-28891.14,-0.049594
2022-03-15,2022-03-16,2022-02-15,long,3.746,3.792,6798.88,0.01228
2022-07-29,2022-08-01,2022-03-16,short,3.792,3.752,5912.07,0.010549
2023-02-10,2023-02-13,2022-08-01,long,3.752,4.005,38191.14,0.067431
2023-03-14,2023-03-15,2023-02-13,short,4.005,4.142,-20680.58,-0.034207
2023-09-28,2023-10-09,2023-03-15,long,4.142,4.391,35100.86,0.060116
2023-10-18,2023-10-19,2023-10-09,short,4.391,4.551,-22554.77,-0.036438
2024-04-23,2024-04-24,2023-10-19,long,4.551,5.263,93311.39,0.156449
2024-05-20,2024-05-21,2024-04-24,short,5.263,5.549,-37481.82,-0.054342
2024-06-03,2024-06-04,2024-05-21,long,5.549,5.333,-25389.92,-0.038926
2024-07-16,2024-07-17,2024-06-04,short,5.333,5.615,-33147.95,-0.052878
2024-07-25,2024-07-26,2024-07-17,long,5.615,5.311,-32144.65,-0.054141
2024-09-13,2024-09-18,2024-07-26,short,5.311,5.626,-33307.78,-0.059311
2024-11-07,2024-11-08,2024-09-18,long,5.626,5.888,24601.36,0.046569
2024-11-22,2024-11-25,2024-11-08,short,5.888,6.013,-11737.29,-0.02123
2025-04-23,2025-04-24,2024-11-25,long,6.013,7.55,138321.33,0.255613
2025-09-01,2025-09-02,2025-04-24,short,7.55,7.75,-17998.87,-0.02649
2025-10-24,2025-10-27,2025-09-02,long,7.75,8.897,97895.86,0.148
2025-12-15,2025-12-16,2025-10-27,short,8.897,9.296,-34054.45,-0.044847
2026-01-30,2026-02-02,2025-12-16,long,9.296,9.908,47749.95,0.065835
2026-03-02,2026-03-03,2026-02-02,short,9.908,11.418,-117814.43,-0.152402
2026-03-19,2026-03-20,2026-03-03,long,11.418,9.883,-88087.8,-0.134437
,2026-07-31,2026-03-20,short,9.883,8.433,83209.97,0.146717
